"participant";"task";"hd";"str";"tr"
"Co1";"crazy";"2.21";"2.67";"-11.1"
"Co1";"month";"-6.77";"-1.39";"-4.07"
"Co10";"crazy";"-9.31";"-2.65";"-54.1"
"Co10";"month";"-1.45";"1.25";"-43.9"
"Co2";"crazy";"14.6";"45.7";"40.6"
"Co2";"month";"-52.4";"9.58";"0.0514"
"Co3";"crazy";"-7.26";"46.2";"39.3"
"Co3";"month";"-26";"-1.75";"-8.77"
"Co4";"crazy";"9.33";"30.4";"8.71"
"Co4";"month";"0.736";"-1.27";"-5.82"
"Co5";"crazy";"3.88";"1.81";"-8.17"
"Co5";"month";"2.56";"3.52";"-15"
"Co6";"crazy";"8.89";"-9.38";"-18.4"
"Co6";"month";"-4.51";"-3.14";"-47.8"
"Co7";"crazy";"10.2";"27.3";"6.05"
"Co7";"month";"-37.4";"6.89";"5.15"
"Co8";"crazy";"43.6";"-4.46";"-11.9"
"Co8";"month";"-59.2";"-4.97";"-14.3"
"Co9";"crazy";"18.3";"12.1";"3.69"
"Co9";"month";"-13.8";"-7.21";"-12.6"
"Sa1";"crazy";"34.6";"29.5";"11.9"
"Sa11";"crazy";"19.7";"22.8";"6.06"
"Sa11";"month";"-5.61";"4.42";"-39.4"
"Sa13";"crazy";"-42.4";"23.5";"20.6"
"Sa14";"month";"-22.7";"-2.84";"-64.6"
"Sa20";"crazy";"24";"16.5";"-40.6"
"Sa20";"month";"0.594";"2.27";"-13.4"
"Sa21";"crazy";"-15";"13.8";"-10.6"
"Sa21";"month";"-4.38";"31.9";"6.58"
"Sa22";"crazy";"-23.9";"5.89";"-2.56"
"Sa22";"month";"-54.7";"-1.85";"-11.7"
"Sa23";"crazy";"23";"23.7";"17"
"Sa23";"month";"-44.7";"-2.67";"-10"
"Sa24";"crazy";"38.6";"50.5";"0.945"
"Sa24";"month";"25.6";"10.9";"16.5"
"Sa25";"crazy";"2.46";"6.71";"-71.4"
"Sa25";"month";"-3.83";"0.465";"-55.3"
"Sa26";"month";"-5.17";"3.2";"-48"
"Sa4";"month";"-49.7";"1.85";"-2.09"
"Sa5";"month";"-3.04";"5.09";"-22.9"
"Sa6";"crazy";"10.2";"44.7";"35.7"
"Sa6";"month";"5.29";"2.41";"-57.4"
"Sa7";"crazy";"-44.2";"0.439";"2.85"
"Sa7";"month";"-50.8";"3.4";"-8.6"
"Sa8";"crazy";"24.6";"26.7";"13"
"Sa9";"crazy";"-20.2";"9.15";"-12.8"
"Sa9";"month";"5.78";"11.3";"3.67"
