"m";"task";"participant";"angularShift"
"jan";"month";"Co1";"  8.26141381"
"feb";"month";"Co1";"  0.14933062"
"mar";"month";"Co1";"  3.24859704"
"apr";"month";"Co1";"  1.97791609"
"may";"month";"Co1";"  3.05836849"
"jun";"month";"Co1";"  1.35336212"
"jul";"month";"Co1";"  4.38123398"
"aug";"month";"Co1";" 11.28105312"
"sep";"month";"Co1";"          NA"
"oct";"month";"Co1";"  5.51750961"
"nov";"month";"Co1";"  1.02505474"
"dec";"month";"Co1";"146.46684174"
"jan";"crazy";"Co1";"  6.23009458"
"feb";"crazy";"Co1";" 80.47170275"
"mar";"crazy";"Co1";" 37.98639901"
"apr";"crazy";"Co1";"  2.66382529"
"may";"crazy";"Co1";"  5.95851855"
"jun";"crazy";"Co1";"  8.51511811"
"jul";"crazy";"Co1";"  3.97382835"
"aug";"crazy";"Co1";"  4.70652550"
"sep";"crazy";"Co1";" 13.53682238"
"oct";"crazy";"Co1";"  7.92846204"
"nov";"crazy";"Co1";"  3.98249442"
"dec";"crazy";"Co1";" 14.73068470"
"jan";"month";"Co2";" 61.68653071"
"feb";"month";"Co2";" 66.00776367"
"mar";"month";"Co2";" 76.55778100"
"apr";"month";"Co2";" 77.10238642"
"may";"month";"Co2";" 69.51697369"
"jun";"month";"Co2";" 69.26208339"
"jul";"month";"Co2";" 61.12397345"
"aug";"month";"Co2";" 55.66247167"
"sep";"month";"Co2";" 54.11778280"
"oct";"month";"Co2";" 53.62660858"
"nov";"month";"Co2";" 54.86460777"
"dec";"month";"Co2";" 55.53614891"
"jan";"crazy";"Co2";" 51.28525608"
"feb";"crazy";"Co2";" 60.20706614"
"mar";"crazy";"Co2";" 50.96340521"
"apr";"crazy";"Co2";" 61.36727556"
"may";"crazy";"Co2";" 67.67833359"
"jun";"crazy";"Co2";" 57.47706921"
"jul";"crazy";"Co2";" 57.68204092"
"aug";"crazy";"Co2";" 57.33220510"
"sep";"crazy";"Co2";" 49.84829726"
"oct";"crazy";"Co2";" 49.37748617"
"nov";"crazy";"Co2";" 51.14639184"
"dec";"crazy";"Co2";" 60.56379730"
"jan";"month";"Co3";" 57.24251356"
"feb";"month";"Co3";" 56.52065522"
"mar";"month";"Co3";" 55.75519109"
"apr";"month";"Co3";" 54.45792485"
"may";"month";"Co3";" 48.09439893"
"jun";"month";"Co3";" 61.14598274"
"jul";"month";"Co3";" 57.62678280"
"aug";"month";"Co3";" 51.35639064"
"sep";"month";"Co3";" 60.85958361"
"oct";"month";"Co3";" 53.78966038"
"nov";"month";"Co3";" 45.21149997"
"dec";"month";"Co3";" 54.35579928"
"jan";"crazy";"Co3";" 56.67966071"
"feb";"crazy";"Co3";" 60.50706278"
"mar";"crazy";"Co3";" 57.87315491"
"apr";"crazy";"Co3";" 65.04747984"
"may";"crazy";"Co3";" 57.22445723"
"jun";"crazy";"Co3";" 56.76879529"
"jul";"crazy";"Co3";" 53.52738848"
"aug";"crazy";"Co3";" 63.02867461"
"sep";"crazy";"Co3";" 65.37609190"
"oct";"crazy";"Co3";" 62.76539427"
