"m";"task";"participant";"angularShift"
"jan";"month";"Co1";7.894769703
"feb";"month";"Co1";-1.368737506
"mar";"month";"Co1";-3.368837473
"apr";"month";"Co1";-2.004504844
"may";"month";"Co1";-2.881652134
"jun";"month";"Co1";-1.191683861
"jul";"month";"Co1";-3.480975201
"aug";"month";"Co1";10.9869042
"sep";"month";"Co1";NA
"oct";"month";"Co1";6.649708188
"nov";"month";"Co1";-3.668902986
"dec";"month";"Co1";7.051256668
"jan";"crazy";"Co1";6.620749359
"feb";"crazy";"Co1";15.703942567
"mar";"crazy";"Co1";28.621293161
"apr";"crazy";"Co1";-2.576835084
"may";"crazy";"Co1";5.921158047
"jun";"crazy";"Co1";8.57657817
"jul";"crazy";"Co1";3.550221717
"aug";"crazy";"Co1";-4.641586068
"sep";"crazy";"Co1";12.938415707
"oct";"crazy";"Co1";8.202094111
"nov";"crazy";"Co1";3.303453928
"dec";"crazy";"Co1";-12.650035537
"jan";"month";"Co2";53.398621085
"feb";"month";"Co2";58.299046666
"mar";"month";"Co2";70.984518523
"apr";"month";"Co2";71.767916012
"may";"month";"Co2";65.372990383
"jun";"month";"Co2";64.20588059
"jul";"month";"Co2";55.794252145
"aug";"month";"Co2";50.194497175
"sep";"month";"Co2";48.437769411
"oct";"month";"Co2";47.978946727
"nov";"month";"Co2";48.599768433
"dec";"month";"Co2";48.982923623
"jan";"crazy";"Co2";45.638049547
"feb";"crazy";"Co2";53.160224018
"mar";"crazy";"Co2";45.29663083
"apr";"crazy";"Co2";54.203072918
"may";"crazy";"Co2";60.614041702
"jun";"crazy";"Co2";49.026008897
"jul";"crazy";"Co2";52.164250625
"aug";"crazy";"Co2";51.609303739
"sep";"crazy";"Co2";45.791345029
"oct";"crazy";"Co2";45.476594759
"nov";"crazy";"Co2";46.557683986
"dec";"crazy";"Co2";53.402911318
"jan";"month";"Co3";48.772763336
"feb";"month";"Co3";49.606632663
"mar";"month";"Co3";50.500937653
"apr";"month";"Co3";49.317402729
"may";"month";"Co3";43.954381213
"jun";"month";"Co3";56.27499867
"jul";"month";"Co3";52.988158085
"aug";"month";"Co3";47.730158637
"sep";"month";"Co3";55.909409285
"oct";"month";"Co3";50.100701242
"nov";"month";"Co3";42.720028371
"dec";"month";"Co3";49.966584949
"jan";"crazy";"Co3";49.8644842
"feb";"crazy";"Co3";53.1672656
"mar";"crazy";"Co3";50.695752017
"apr";"crazy";"Co3";56.543150064
"may";"crazy";"Co3";49.440143164
"jun";"crazy";"Co3";49.439617515
"jul";"crazy";"Co3";46.254458648
"aug";"crazy";"Co3";55.049508688
"sep";"crazy";"Co3";58.457939485
"oct";"crazy";"Co3";56.113557531
"nov";"crazy";"Co3";46.286073631
"dec";"crazy";"Co3";43.859736925
"jan";"month";"Co4";2.639377613
"feb";"month";"Co4";7.537409069
"mar";"month";"Co4";6.427939097
"apr";"month";"Co4";0.51905395
"may";"month";"Co4";5.865861754
"jun";"month";"Co4";3.729121621
"jul";"month";"Co4";3.906731788
