"m";"task";"participant";"angularShift"
"jan";"month";"Co1";"  7.49461130"
"feb";"month";"Co1";"  1.12368160"
"mar";"month";"Co1";"  3.24898230"
"apr";"month";"Co1";"  1.92946167"
"may";"month";"Co1";"  2.73926926"
"jun";"month";"Co1";"  1.20512361"
"jul";"month";"Co1";"  3.40527073"
"aug";"month";"Co1";" 11.48780475"
"sep";"month";"Co1";"          NA"
"oct";"month";"Co1";"  7.03569284"
"nov";"month";"Co1";"  4.35436298"
"dec";"month";"Co1";"  4.54101096"
"jan";"crazy";"Co1";"  6.24919613"
"feb";"crazy";"Co1";" 23.36787556"
"mar";"crazy";"Co1";" 27.66183477"
"apr";"crazy";"Co1";"  3.03704511"
"may";"crazy";"Co1";"  5.46155698"
"jun";"crazy";"Co1";"  7.34490852"
"jul";"crazy";"Co1";"  3.39598484"
"aug";"crazy";"Co1";"  5.67131100"
"sep";"crazy";"Co1";" 13.49359570"
"oct";"crazy";"Co1";"  8.61307934"
"nov";"crazy";"Co1";"  3.33157003"
"dec";"crazy";"Co1";" 12.42441677"
"jan";"month";"Co2";" 52.61369296"
"feb";"month";"Co2";" 56.90801355"
"mar";"month";"Co2";" 68.92019394"
"apr";"month";"Co2";" 69.64712124"
"may";"month";"Co2";" 63.31679235"
"jun";"month";"Co2";" 62.52738315"
"jul";"month";"Co2";" 54.58814501"
"aug";"month";"Co2";" 49.22514043"
"sep";"month";"Co2";" 47.78943102"
"oct";"month";"Co2";" 47.38758467"
"nov";"month";"Co2";" 47.90188425"
"dec";"month";"Co2";" 48.31560672"
"jan";"crazy";"Co2";" 46.11338122"
"feb";"crazy";"Co2";" 53.59957369"
"mar";"crazy";"Co2";" 45.96191395"
"apr";"crazy";"Co2";" 53.77220450"
"may";"crazy";"Co2";" 62.26421215"
"jun";"crazy";"Co2";" 51.44645797"
"jul";"crazy";"Co2";" 56.06977192"
"aug";"crazy";"Co2";" 51.55321261"
"sep";"crazy";"Co2";" 45.68142814"
"oct";"crazy";"Co2";" 45.24216734"
"nov";"crazy";"Co2";" 47.46832309"
"dec";"crazy";"Co2";" 53.77159080"
