"m";"task";"participant";"angularShift"
"jan";"month";"Co1";"  2.341815669"
"feb";"month";"Co1";" 27.544806274"
"mar";"month";"Co1";" 13.274597018"
"apr";"month";"Co1";" 11.473227511"
"may";"month";"Co1";"  4.654883276"
"jun";"month";"Co1";"  2.267009256"
"jul";"month";"Co1";" 12.123319268"
"aug";"month";"Co1";" 17.275313587"
"sep";"month";"Co1";"  8.461067639"
"oct";"month";"Co1";" 13.869096624"
"nov";"month";"Co1";" 11.932874473"
"dec";"month";"Co1";"165.848966617"
"jan";"crazy";"Co1";" 29.733607130"
"feb";"crazy";"Co1";"152.227220686"
"mar";"crazy";"Co1";"  9.554637836"
"apr";"crazy";"Co1";"  6.763518399"
"may";"crazy";"Co1";" 37.125170723"
"jun";"crazy";"Co1";" 35.516503481"
"jul";"crazy";"Co1";" 31.520848986"
"aug";"crazy";"Co1";"  1.687938945"
"sep";"crazy";"Co1";" 24.316710875"
"oct";"crazy";"Co1";" 34.429157371"
"nov";"crazy";"Co1";" 15.324324286"
"dec";"crazy";"Co1";"  9.065652331"
"jan";"month";"Co2";" 19.120034293"
"feb";"month";"Co2";" 16.368129931"
"mar";"month";"Co2";" 16.495065103"
"apr";"month";"Co2";" 14.765521599"
"may";"month";"Co2";" 18.689567901"
"jun";"month";"Co2";" 17.345224790"
"jul";"month";"Co2";" 16.382639861"
"aug";"month";"Co2";" 16.289321023"
"sep";"month";"Co2";" 15.398472279"
"oct";"month";"Co2";" 15.890275873"
"nov";"month";"Co2";" 15.008989640"
"dec";"month";"Co2";" 17.537741610"
"jan";"crazy";"Co2";"  1.768987894"
"feb";"crazy";"Co2";"  2.915258706"
"mar";"crazy";"Co2";"  0.741674113"
"apr";"crazy";"Co2";"  5.394862465"
"may";"crazy";"Co2";" 18.080932262"
"jun";"crazy";"Co2";"  3.246692336"
"jul";"crazy";"Co2";" 11.398933257"
"aug";"crazy";"Co2";"  1.745314481"
"sep";"crazy";"Co2";"  4.970834919"
"oct";"crazy";"Co2";"  2.043624833"
"nov";"crazy";"Co2";"  5.135347002"
"dec";"crazy";"Co2";"  3.004037739"
"jan";"month";"Co3";"  8.381872553"
"feb";"month";"Co3";"  5.691891155"
"mar";"month";"Co3";"  2.788287416"
"apr";"month";"Co3";"  6.934077579"
"may";"month";"Co3";"  6.770888106"
"jun";"month";"Co3";"  2.777422260"
"jul";"month";"Co3";"  4.416993539"
"aug";"month";"Co3";"  7.015047567"
"sep";"month";"Co3";"  0.570573309"
"oct";"month";"Co3";"  5.042537883"
"nov";"month";"Co3";" 17.660433112"
"dec";"month";"Co3";"  7.939077055"
"jan";"crazy";"Co3";"  1.683848604"
"feb";"crazy";"Co3";"  4.373488139"
"mar";"crazy";"Co3";"  6.041412117"
"apr";"crazy";"Co3";"  0.224956690"
"may";"crazy";"Co3";"  1.439801130"
"jun";"crazy";"Co3";"  3.295496209"
"jul";"crazy";"Co3";"  2.592595852"
"aug";"crazy";"Co3";"  3.484040907"
"sep";"crazy";"Co3";"  3.038958820"
"oct";"crazy";"Co3";"  1.757802527"
"nov";"crazy";"Co3";"  1.210649880"
"dec";"crazy";"Co3";"  3.288248873"
"jan";"month";"Co4";"  4.578661138"
"feb";"month";"Co4";"  1.232454743"
"mar";"month";"Co4";"  7.761604200"
"apr";"month";"Co4";"  1.940555825"
"may";"month";"Co4";"  8.091045120"
"jun";"month";"Co4";" 13.228046991"
"jul";"month";"Co4";"  2.296389836"
"aug";"month";"Co4";"  9.604483882"
"sep";"month";"Co4";" 12.098720587"
"oct";"month";"Co4";" 12.046417193"
"nov";"month";"Co4";" 15.654728671"
"dec";"month";"Co4";"  3.104038488"
"jan";"crazy";"Co4";"  9.454632442"
"feb";"crazy";"Co4";"  5.800509286"
"mar";"crazy";"Co4";"  8.851914582"
"apr";"crazy";"Co4";"  2.538036066"
"may";"crazy";"Co4";" 10.516387716"
"jun";"crazy";"Co4";"  3.944946204"
"jul";"crazy";"Co4";" 17.614921538"
"aug";"crazy";"Co4";"  8.749132379"
"sep";"crazy";"Co4";" 12.354457963"
"oct";"crazy";"Co4";"  5.096520668"
"nov";"crazy";"Co4";" 10.625577773"
"dec";"crazy";"Co4";"  0.833044562"
"jan";"month";"Co5";"  7.484775032"
"feb";"month";"Co5";"  7.349692241"
"mar";"month";"Co5";" 12.661740624"
"apr";"month";"Co5";"  7.933347748"
"may";"month";"Co5";" 10.441903906"
"jun";"month";"Co5";" 10.585820133"
"jul";"month";"Co5";" 15.662652892"
"aug";"month";"Co5";"  5.843034835"
"sep";"month";"Co5";"  4.351758075"
"oct";"month";"Co5";"  5.670533247"
"nov";"month";"Co5";"  6.467333300"
"dec";"month";"Co5";"  6.994393731"
"jan";"crazy";"Co5";" 11.371857300"
"feb";"crazy";"Co5";" 10.836582988"
"mar";"crazy";"Co5";"  9.699283938"
"apr";"crazy";"Co5";" 11.694461474"
"may";"crazy";"Co5";"  8.293812798"
"jun";"crazy";"Co5";" 10.977463299"
"jul";"crazy";"Co5";"  9.115140618"
"aug";"crazy";"Co5";"  8.773145713"
"sep";"crazy";"Co5";" 14.435841195"
"oct";"crazy";"Co5";" 14.337339993"
"nov";"crazy";"Co5";"  7.244795722"
"dec";"crazy";"Co5";" 10.707412283"
"jan";"month";"Co6";"141.063030444"
"feb";"month";"Co6";" 81.613940130"
"mar";"month";"Co6";" 81.752679487"
"apr";"month";"Co6";" 71.077924785"
"may";"month";"Co6";" 86.009359385"
"jun";"month";"Co6";" 82.843868387"
"jul";"month";"Co6";" 54.098283410"
"aug";"month";"Co6";" 41.064096869"
"sep";"month";"Co6";" 27.539424361"
"oct";"month";"Co6";" 25.671799833"
"nov";"month";"Co6";" 26.847931124"
"dec";"month";"Co6";"  6.108371287"
"jan";"crazy";"Co6";"  0.153889441"
"feb";"crazy";"Co6";"  6.223480164"
"mar";"crazy";"Co6";" 18.366754015"
"apr";"crazy";"Co6";" 55.221872291"
"may";"crazy";"Co6";" 12.210681050"
"jun";"crazy";"Co6";"  4.553057854"
"jul";"crazy";"Co6";"  2.956765989"
"aug";"crazy";"Co6";" 18.137729508"
"sep";"crazy";"Co6";"  3.644320720"
"oct";"crazy";"Co6";"  4.553799999"
"nov";"crazy";"Co6";"  3.205451156"
"dec";"crazy";"Co6";" 16.532702281"
"jan";"month";"Co7";" 24.167026315"
"feb";"month";"Co7";" 27.077948716"
"mar";"month";"Co7";" 27.851393092"
"apr";"month";"Co7";" 38.798992433"
"may";"month";"Co7";" 17.717520877"
"jun";"month";"Co7";" 26.775056923"
"jul";"month";"Co7";" 13.128732675"
"aug";"month";"Co7";"  4.330791900"
"sep";"month";"Co7";"  2.323828579"
"oct";"month";"Co7";"  3.299257987"
"nov";"month";"Co7";"  0.892884962"
"dec";"month";"Co7";"  2.798333844"
"jan";"crazy";"Co7";"  3.445691434"
"feb";"crazy";"Co7";"  2.804215977"
"mar";"crazy";"Co7";"  1.454562110"
"apr";"crazy";"Co7";" 12.935043142"
"may";"crazy";"Co7";" 24.355674748"
"jun";"crazy";"Co7";" 16.121708733"
"jul";"crazy";"Co7";" 20.952296878"
"aug";"crazy";"Co7";"  1.559983160"
"sep";"crazy";"Co7";"  3.671051480"
"oct";"crazy";"Co7";"  0.099028648"
"nov";"crazy";"Co7";" 13.910384129"
"dec";"crazy";"Co7";" 14.799957390"
"jan";"month";"Co8";"  0.262876076"
"feb";"month";"Co8";"  7.273148994"
"mar";"month";"Co8";"  7.587583130"
"apr";"month";"Co8";"  4.674516813"
"may";"month";"Co8";"  6.196025662"
"jun";"month";"Co8";"  5.613482231"
"jul";"month";"Co8";"  5.120984642"
"aug";"month";"Co8";"  6.374106786"
"sep";"month";"Co8";"  5.704190922"
