"m";"task";"participant";"angularShift"
"jan";"month";"Co1";"  0.20184120"
"feb";"month";"Co1";" 26.38564455"
"mar";"month";"Co1";" 14.08314279"
"apr";"month";"Co1";" 11.46572225"
"may";"month";"Co1";"  4.09443605"
"jun";"month";"Co1";"  2.37295001"
"jul";"month";"Co1";"  9.84672234"
"aug";"month";"Co1";" 16.12053322"
"sep";"month";"Co1";"  6.58703748"
"oct";"month";"Co1";" 12.54651177"
"nov";"month";"Co1";"  6.25924928"
"dec";"month";"Co1";" 43.79542434"
"jan";"crazy";"Co1";" 28.19312871"
"feb";"crazy";"Co1";" 78.61710241"
"mar";"crazy";"Co1";" 10.95027378"
"apr";"crazy";"Co1";"  1.30628164"
"may";"crazy";"Co1";" 31.10487322"
"jun";"crazy";"Co1";" 25.78457347"
"jul";"crazy";"Co1";" 26.51381827"
"aug";"crazy";"Co1";"  5.12804411"
"sep";"crazy";"Co1";" 23.04778038"
"oct";"crazy";"Co1";" 32.68831041"
"nov";"crazy";"Co1";" 13.42556386"
"dec";"crazy";"Co1";"  8.24432024"
"jan";"month";"Co2";" 18.69131220"
"feb";"month";"Co2";" 15.59485631"
"mar";"month";"Co2";" 15.02470994"
"apr";"month";"Co2";" 13.22254816"
"may";"month";"Co2";" 16.65835762"
"jun";"month";"Co2";" 15.76967138"
"jul";"month";"Co2";" 14.82853541"
"aug";"month";"Co2";" 15.23835406"
"sep";"month";"Co2";" 14.80354165"
"oct";"month";"Co2";" 15.70010014"
"nov";"month";"Co2";" 15.08307039"
"dec";"month";"Co2";" 17.09575454"
"jan";"crazy";"Co2";"  0.56274093"
"feb";"crazy";"Co2";"  1.70381487"
"mar";"crazy";"Co2";"  0.34573248"
"apr";"crazy";"Co2";"  5.67653464"
"may";"crazy";"Co2";" 15.76584145"
"jun";"crazy";"Co2";"  0.56858556"
"jul";"crazy";"Co2";"  9.01184478"
"aug";"crazy";"Co2";"  1.17701153"
"sep";"crazy";"Co2";"  4.71832418"
"oct";"crazy";"Co2";"  2.11005226"
"nov";"crazy";"Co2";"  4.50107519"
"dec";"crazy";"Co2";"  2.06948641"
"jan";"month";"Co3";"  6.44962567"
"feb";"month";"Co3";"  4.60085244"
"mar";"month";"Co3";"  2.65364853"
"apr";"month";"Co3";"  6.30305492"
"may";"month";"Co3";"  5.99987681"
"jun";"month";"Co3";"  2.57582144"
"jul";"month";"Co3";"  3.91441928"
"aug";"month";"Co3";"  6.39449659"
"sep";"month";"Co3";"  0.36616027"
"oct";"month";"Co3";"  4.54065571"
"nov";"month";"Co3";" 15.45961382"
"dec";"month";"Co3";"  6.99011123"
"jan";"crazy";"Co3";"  2.13759114"
"feb";"crazy";"Co3";"  4.17543535"
"mar";"crazy";"Co3";"  5.89364904"
"apr";"crazy";"Co3";"  0.74132405"
"may";"crazy";"Co3";"  2.03890595"
"jun";"crazy";"Co3";"  2.42296056"
"jul";"crazy";"Co3";"  2.85702093"
"aug";"crazy";"Co3";"  3.43778435"
"sep";"crazy";"Co3";"  2.99515503"
"oct";"crazy";"Co3";"  1.80383990"
"nov";"crazy";"Co3";"  1.60004241"
"dec";"crazy";"Co3";"  3.61192940"
"jan";"month";"Co4";"  4.08154473"
"feb";"month";"Co4";"  1.28079231"
"mar";"month";"Co4";"  6.98107709"
"apr";"month";"Co4";"  1.93033569"
"may";"month";"Co4";"  6.56961765"
"jun";"month";"Co4";" 12.38401445"
"jul";"month";"Co4";"  2.16684050"
"aug";"month";"Co4";"  8.99215260"
"sep";"month";"Co4";"  9.54415192"
"oct";"month";"Co4";" 10.06303558"
"nov";"month";"Co4";" 13.24575536"
"dec";"month";"Co4";"  3.06031868"
"jan";"crazy";"Co4";"  9.02693031"
"feb";"crazy";"Co4";"  5.67985683"
