"m","task","participant","angularShift"
"jan","month","Co1",-0.51285042
"feb","month","Co1",-27.75164409
"mar","month","Co1",-14.85040208
"apr","month","Co1",-12.05974463
"may","month","Co1",-4.16285887
"jun","month","Co1",-2.05076525
"jul","month","Co1",-10.0047751
"aug","month","Co1",15.6561728
"sep","month","Co1",-6.36913808
"oct","month","Co1",-12.19227646
"nov","month","Co1",-6.68136231
"dec","month","Co1",-25.07642138
"jan","crazy","Co1",-30.0189622
"feb","crazy","Co1",-63.2015478
"mar","crazy","Co1",-7.50077283
"apr","crazy","Co1",-3.44493369
"may","crazy","Co1",32.84415528
"jun","crazy","Co1",-23.37458093
"jul","crazy","Co1",-27.23545096
"aug","crazy","Co1",-3.04244404
"sep","crazy","Co1",-22.41650767
"oct","crazy","Co1",31.67013377
"nov","crazy","Co1",-13.65924823
"dec","crazy","Co1",-7.74068293
"jan","month","Co2",-17.3679427
"feb","month","Co2",-14.45493763
"mar","month","Co2",-14.42980639
"apr","month","Co2",-12.8577014
"may","month","Co2",-16.31002756
"jun","month","Co2",-15.29373295
"jul","month","Co2",-14.45490807
"aug","month","Co2",-14.52552095
"sep","month","Co2",-14.03074703
"oct","month","Co2",-14.76988867
"nov","month","Co2",-14.01251092
"dec","month","Co2",-16.06292511
"jan","crazy","Co2",-0.94101483
"feb","crazy","Co2",-2.08954944
"mar","crazy","Co2",-0.02902269
"apr","crazy","Co2",-5.1546625
"may","crazy","Co2",-15.51120844
"jun","crazy","Co2",-1.14128944
"jul","crazy","Co2",-8.86849431
"aug","crazy","Co2",-1.38998451
"sep","crazy","Co2",-4.59619109
"oct","crazy","Co2",-1.92476218
"nov","crazy","Co2",4.48216534
"dec","crazy","Co2",-2.2826631
"jan","month","Co3",-6.50861025
"feb","month","Co3",4.664766
"mar","month","Co3",2.57726494
"apr","month","Co3",6.24951783
"may","month","Co3",-6.07591312
"jun","month","Co3",-2.54236676
"jul","month","Co3",-4.05066575
"aug","month","Co3",-6.71172485
"sep","month","Co3",-0.09692016
"oct","month","Co3",-4.70007161
"nov","month","Co3",-15.78470701
"dec","month","Co3",-7.35031917
"jan","crazy","Co3",-1.86323258
"feb","crazy","Co3",-4.03685076
"mar","crazy","Co3",-5.63747263
"apr","crazy","Co3",-0.4630997
"may","crazy","Co3",-1.69925302
"jun","crazy","Co3",-2.60887137
"jul","crazy","Co3",-2.61983244
"aug","crazy","Co3",-3.2667369
"sep","crazy","Co3",-2.83898151
"oct","crazy","Co3",-1.66593779
"nov","crazy","Co3",-1.3618548
"dec","crazy","Co3",-3.31005824
"jan","month","Co4",-4.05250881
"feb","month","Co4",1.20953109
"mar","month","Co4",6.78833185
"apr","month","Co4",1.83678316
"may","month","Co4",-6.52004005
"jun","month","Co4",11.71056293
"jul","month","Co4",2.03594782
"aug","month","Co4",-7.69034588
"sep","month","Co4",-9.75725171
"oct","month","Co4",-9.90820854
"nov","month","Co4",-13.50750072
"dec","month","Co4",2.6252833
"jan","crazy","Co4",8.6136931
"feb","crazy","Co4",5.23488375
"mar","crazy","Co4",7.67147224
"apr","crazy","Co4",2.46899142
"may","crazy","Co4",9.12241909
"jun","crazy","Co4",-2.96786585
"jul","crazy","Co4",-14.75914522
"aug","crazy","Co4",7.58073905
"sep","crazy","Co4",10.12858475
"oct","crazy","Co4",4.16202109
"nov","crazy","Co4",9.02693312
"dec","crazy","Co4",-0.50484995
"jan","month","Co5",-7.45682165
"feb","month","Co5",-7.10381772
"mar","month","Co5",-11.73821376
"apr","month","Co5",-7.43210288
"may","month","Co5",-9.75185433
"jun","month","Co5",-10.05113395
"jul","month","Co5",-14.52057251
"aug","month","Co5",-5.96875313
"sep","month","Co5",-4.59960825
"oct","month","Co5",-5.99069183
"nov","month","Co5",-6.5320005
"dec","month","Co5",-7.00465487
"jan","crazy","Co5",-10.76316416
"feb","crazy","Co5",-10.18186769
"mar","crazy","Co5",-9.08902896
"apr","crazy","Co5",-10.7977269
"may","crazy","Co5",-7.85616046
"jun","crazy","Co5",-10.28372904
"jul","crazy","Co5",-8.71852406
"aug","crazy","Co5",-8.2120129
"sep","crazy","Co5",-13.13837907
"oct","crazy","Co5",-13.0813101
"nov","crazy","Co5",-6.95385364
"dec","crazy","Co5",-9.96372704
"jan","month","Co6",-161.25197524
"feb","month","Co6",-94.81057583
"mar","month","Co6",-90.77429838
"apr","month","Co6",-78.73868224
"may","month","Co6",-91.80674369
"jun","month","Co6",65.1555742
"jul","month","Co6",47.18370689
"aug","month","Co6",38.66235888
"sep","month","Co6",25.70189676
"oct","month","Co6",24.58010098
"nov","month","Co6",25.08298824
"dec","month","Co6",7.44342134
"jan","crazy","Co6",-6.94177921
"feb","crazy","Co6",-14.28419907
"mar","crazy","Co6",-20.83602262
"apr","crazy","Co6",-42.21825625
"may","crazy","Co6",-10.0914357
"jun","crazy","Co6",-2.47464053
"jul","crazy","Co6",-1.39208447
"aug","crazy","Co6",-11.39097509
"sep","crazy","Co6",-8.44984711
"oct","crazy","Co6",-0.25478659
"nov","crazy","Co6",2.77445742
"dec","crazy","Co6",-14.23419934
"jan","month","Co7",-19.78114314
"feb","month","Co7",-22.98895068
"mar","month","Co7",-24.05111268
"apr","month","Co7",-27.24691876
"may","month","Co7",-15.80471847
"jun","month","Co7",-21.97060959
"jul","month","Co7",11.52100844
"aug","month","Co7",-3.21736263
"sep","month","Co7",-2.92518945
"oct","month","Co7",-2.00793003
"nov","month","Co7",-0.50108389
"dec","month","Co7",-3.80195695
"jan","crazy","Co7",-3.96752436
"feb","crazy","Co7",-3.30314974
"mar","crazy","Co7",-0.01682016
"apr","crazy","Co7",-12.21822947
"may","crazy","Co7",-22.45359423
"jun","crazy","Co7",-13.5138234
"jul","crazy","Co7",-18.60744822
"aug","crazy","Co7",1.19053709
"sep","crazy","Co7",-2.3697314
"oct","crazy","Co7",-0.78792463
"nov","crazy","Co7",12.57266387
"dec","crazy","Co7",-12.68276116
"jan","month","Co8",0.22489347
"feb","month","Co8",-6.50003953
"mar","month","Co8",-6.78028704
"apr","month","Co8",-4.17474343
"may","month","Co8",-5.58049798
"jun","month","Co8",-5.04948759
"jul","month","Co8",-5.06851188
"aug","month","Co8",-6.21529385
"sep","month","Co8",-5.65299487
"oct","month","Co8",-2.26416075
"nov","month","Co8",-1.41224956
"dec","month","Co8",-1.34174249
"jan","crazy","Co8",-6.8566513
"feb","crazy","Co8",-4.22887553
"mar","crazy","Co8",-1.91626589
"apr","crazy","Co8",-2.2187293
"may","crazy","Co8",-2.0904445
"jun","crazy","Co8",-0.79892034
"jul","crazy","Co8",-1.52825181
"aug","crazy","Co8",-2.93524022
"sep","crazy","Co8",-0.78775176
"oct","crazy","Co8",-0.75955761
"nov","crazy","Co8",-0.77805445
"dec","crazy","Co8",-0.72144213
"jan","month","Co9",-1.57797372
"feb","month","Co9",-1.94011132
"mar","month","Co9",-3.42565786
"apr","month","Co9",6.06980938
"may","month","Co9",-8.7884187
"jun","month","Co9",-14.52641476
"jul","month","Co9",-8.27750882
"aug","month","Co9",-12.12486763
"sep","month","Co9",-12.54849217
"oct","month","Co9",-16.56957347
"nov","month","Co9",-6.40748826
"dec","month","Co9",-4.06484541
"jan","crazy","Co9",-13.76370293
"feb","crazy","Co9",-13.76835429
"mar","crazy","Co9",-7.2125993
"apr","crazy","Co9",-11.2330756
"may","crazy","Co9",-7.23948855
"jun","crazy","Co9",-0.109466
"jul","crazy","Co9",-4.24220611
"aug","crazy","Co9",-8.40689654
"sep","crazy","Co9",-13.37227368
"oct","crazy","Co9",-9.17898857
"nov","crazy","Co9",-9.94988336
"dec","crazy","Co9",-6.57856617
"jan","month","Co10",32.93901145
"feb","month","Co10",30.25063406
"mar","month","Co10",-45.41846257
"apr","month","Co10",40.75403935
"may","month","Co10",56.16032501
"jun","month","Co10",17.4464303
"jul","month","Co10",17.61535411
"aug","month","Co10",27.33702587
"sep","month","Co10",40.81830143
"oct","month","Co10",39.2070479
"nov","month","Co10",20.48519599
"dec","month","Co10",-40.25016096
"jan","crazy","Co10",11.16299237
"feb","crazy","Co10",34.22094778
"mar","crazy","Co10",50.3105779
