"condition";"task";"participant";"z";"X";"y"
"hd";"crazy";"Co1";46.9506495093624;41.0661454829498;44.9603036695435
"str";"crazy";"Co1";64.1500549178643;61.2136003738388;47.335365299119
"tr";"crazy";"Co1";71.1297015729219;68.7760398381341;73.0349237282308
"hd";"month";"Co1";59.1696468168853;64.7090184544877;60.8219794367191
"str";"month";"Co1";57.3387271847882;53.8806437456035;62.2571278636561
"tr";"month";"Co1";62.5321402298971;59.0495826232363;62.67250030115
"hd";"crazy";"Co10";49.4064379451741;40.3997693051582;35.0970960178779
"str";"crazy";"Co10";51.9951116799037;52.7289878737719;36.8271460829465
"tr";"crazy";"Co10";46.1193231978707;63.6764429660905;37.1013250820972
"hd";"month";"Co10";39.65423313222;57.0903497894522;41.8446454551994
"str";"month";"Co10";33.4316247120004;96.8965730081457;44.9776929708764
"tr";"month";"Co10";99.2165278110699;78.0163410917661;44.6663298369046
"hd";"crazy";"Co2";49.1587125140324;48.6666394729403;34.5977133137896
"str";"crazy";"Co2";55.8364777978146;43.7605419198176;20.3420606449248
"tr";"crazy";"Co2";44.2659346836466;50.6382585842733;25.9110760816614
"hd";"month";"Co2";30.9705299741342;26.2019582895716;36.8381628196178
"str";"month";"Co2";43.7313324103578;16.6914569259367;18.4416936018334
"tr";"month";"Co2";33.9802120221725;28.9465510954744;21.2481625134739
"hd";"crazy";"Co3";40.554329824364;33.8823026718287;15.8854288044312
"str";"crazy";"Co3";45.0468520852625;51.0890241672471;15.1734609420289
"tr";"crazy";"Co3";53.0125780172109;50.5957621178742;16.2450443231361
"hd";"month";"Co3";48.1725780816323;51.4279978672888;21.5856158570062
"str";"month";"Co3";106.887328967885;38.3134078140994;41.9862355993747
"tr";"month";"Co3";85.9274152230615;38.8258085582275;29.8845626210786
"hd";"crazy";"Co4";35.1952416697442;46.7352818571257;26.9053497712737
"str";"crazy";"Co4";40.4732332346897;57.3780601098537;34.1150896637898
"tr";"crazy";"Co4";30.1008015937714;35.7493437738487;32.9078055764975
"hd";"month";"Co4";47.4189930680493;46.4832425451361;34.9508378119137
"str";"month";"Co4";43.1408753858147;42.0257049648959;32.950055037511
"tr";"month";"Co4";43.5728226963379;42.0696544814653;35.4592323930852
"hd";"crazy";"Co5";17.1495107568855;19.3506474293812;23.558984926183
"str";"crazy";"Co5";16.297205127977;12.6873514761409;13.9190948927718
"tr";"crazy";"Co5";12.5265766532616;17.8585475508964;14.3829563938587
"hd";"month";"Co5";36.4193642122259;24.1490438803247;30.0999246264744
"str";"month";"Co5";21.0624740947919;13.8118277154021;13.0316457414665
