"Co1";"Co10";"Co2";"Co3";"Co4";"Co5";"Co6";"Co7";"Co8";"Co9";"Sa1";"Sa11";"Sa13";"Sa20";"Sa21";"Sa22";"Sa23";"Sa24";"Sa25";"Sa6";"Sa7";"Sa8";"Sa9"
19.43938;-33.8962325;-427.6211855;-407.081615;-171.99295875;-4.6781675;107.49836975;-91.9812494;-151.04964475;-27.000851;-16.56435125;-6.48773475;-349.6313935;-29.612342;-150.68450295;-201.949726916667;-57.864019;-33.6209905;-80.769336;-264.633248925;-471.205635333333;-13.1769215;-46.6892576666667
44.143021;-41.3496085;-484.849115;-408.9277225;-158.278038625;-34.14070525;71.53116;-179.233127;-213.36991025;-109.77209925;-44.8459675;-28.87950325;-443.1504325;-27.0538025;-142.47787125;-276.30545725;-64.738181;-26.09685575;-62.6980105;-315.64522525;-512.648960333333;19.316943;-211.58247075
92.89083475;11.2397225;-435.3688725;-360.9891625;-101.01494375;-2.103544;114.0321235;-24.10364;-226.752243175;34.24096;53.42986;-39.65588725;-414.523617833333;-42.291755;-140.5709985;-175.46150225;-53.2766042;-32.908516;2.74233666666669;-246.39653225;-523.640902666667;-12.98333975;-132.8454285
-4.62766916666666;-28.02717;-437.54101;-414.688655;-223.685710125;-17.8932965;37.1238485;-118.96689425;-126.783624;-29.493361925;20.9329125;-6.27197975000001;-386.6058595;-32.3949015;-142.684089;-160.01341425;-57.91438575;-59.253326;-40.9323735;-207.12964475;-399.365031;-1.6750505;-196.7313395
-26.29659;-20.084548675;-403.54446;-413.628855;-210.574302825;-2.43785249999999;-6.02752899999999;-120.47602875;-217.93210125;-5.280356;-24.754881625;22.5389375;-423.242207375;-54.93902425;-129.551887;-158.442623;-20.99978;37.030943625;4.213999;-200.1751525;-435.257296;-5.338523425;-260.82303425
-4.93317916666666;19.47062;-296.54364175;-356.043569;-63.7456325;-1.35027499999998;42.8097325000001;-14.1785725;-239.8601535;37.1720325;12.6346875;-29.38224;-409.9961765;-37.134285;-125.5427475;-167.59008;-28.27206975;-4.12112675;-12.264805;-172.38154575;-493.043675666667;20.851295;-155.27929775
-36.577261;22.5297865;-293.82616675;-392.204471;-83.135105;2.94538500000002;9.86771749999997;-13.786525;-174.596675;27.158425;-59.95756;-21.89199;-378.991026666667;-49.5835475;-136.0639175;-170.183329;-58.62728075;-0.0694620000000015;12.3853308333333;-178.6639515;-469.171495;-5.13360375000001;-139.100914
-103.4428165;-89.9458815;-396.41328;-392.9677485;-154.27377175;-10.7525575;71.0123215;-112.6623355;-142.88902325;-63.63234125;-28.696646175;10.7907575;-419.65852075;-49.0022095;-135.443506725;-182.4268335;-57.416384;-44.71613685;-34.2665735;-222.07450075;-445.16264;-6.53246625000001;-158.885081
-31.4136775;-86.972265;-424.78301125;-369.16496;-164.601265;-19.2249025;-22.12904;-103.69029;-202.05637725;2.21513999999996;2.71963333333332;-46.3716075;-515.641550833333;-54.912505;-152.55835125;-211.964507;-71.3692;-38.0855445;-66.21086;-253.250720825;-482.290861;-2.24637749999999;-173.4309025
-4.56097416666671;-47.0488975;-452.40078725;-357.30354375;-97.9519000000001;-10.94143;12.128005;-31.105415;-256.50091225;9.19173000000001;64.2743333333334;-31.897355;-481.874206666667;-44.5420225;-146.2125725;-183.81400125;-40.30889575;-18.7399325;-28.0949225;-201.8185;-530.0692025;-26.76554725;-197.134247
-52.5118849999999;-9.02083749999997;-512.11693;-453.64902825;-164.8361585;-15.18629125;122.9621325;-159.31004;-184.2690275;5.17004249999999;22.5779450000001;25.88498;-442.704535;-58.49920025;-162.30933725;-151.40865;4.02992249999994;-69.44841475;-95.2774175000001;-358.6733675;-450.494206666667;57.5154055;-197.259695833333
-44.3886166666667;49.010415;-518.502235;-456.6920725;-206.1414315;-15.30872575;109.336891666667;-201.8297175;-130.77756325;-7.94830999999999;-70.1587225;12.5552475;-439.5602525;-50.38940875;-109.7191555;-138.3029525;12.8013975;-97.7434935;-74.2898275;-351.73969975;-451.782211666667;19.6286725;-150.73180425
