"Co1";"Co10";"Co2";"Co3";"Co4";"Co5";"Co6";"Co7";"Co8";"Co9";"Sa1";"Sa11";"Sa13";"Sa20";"Sa21";"Sa22";"Sa23";"Sa24";"Sa25";"Sa6";"Sa7";"Sa8";"Sa9"
16.25;-39.5;-40.75;-223;-107.75;-13.5;79.25;-25.25;-224;-5.25;20.75;21.75;-355;-7.75;-85.75;-171.75;-32;-29.5;55;-115.75;-335;17;73.8333333333333
62.25;-14.25;-82.25;-280.75;-103;7.75;108.25;13.25;-201;15.5;-6;26.25;-353.25;19.5;-98.5;-183.25;-29.25;7;17.5;-106;-270.666666666667;24;49
-27.75;13.25;11.25;-167.75;-43.25;-22.25;-46.5;11.25;-174;-77;-50.75;26.25;-88.8333333333333;-13.25;-61;-39.5833333333333;-11.5;20;-23.75;-85.5;-180.333333333333;18;30
63.5833333333335;-10.5;-55.75;-265;-50.5;-10;44.75;-81;-241.5;-12.25;71.25;5;-380.25;-12.25;-97;-156.75;2.25;24;-27;-39.25;-258;-25;-75.25
-46.25;10.25;54.25;-136;8.5;-38;-50;-31.75;-143;-7.5;66.75;86.75;-362.75;-15.5;-57.5;-160;-0.5;27.75;-125;-171.25;-237;-4;-3.75
-19.75;11.25;74;-175;74.5;-15;-57;21.75;-160.75;-153.25;-43;83.75;116.25;-8.25;-17;36.25;-2.75;8.5;-13;-3.5;-142.333333333333;-15.5;46.5
1.5;14.75;6.5;-150.5;15.75;-28.5;-42.5;-47.25;-232.25;-123.5;-20.75;55.75;6.33333333333326;-33.75;-37.25;-0.25;27.25;16.5;-35.5833333333333;-1.25;-153.666666666667;1.5;-18.75
-22.25;-28.5;22.75;-242.25;-41;-9.75;57.75;1.5;-245.75;-27.5;3;44.5;-338;-11.75;-86;-150.75;-9;42.5;-67;-16.75;-248;-6.25;-52.75
-15;-7;228.5;-175;52.25;-48;7.25;123.75;-202;-94.5;40.6666666666667;79.5;21.5833333333333;-2.5;-32.25;-9.75;10.25;64;11.5;-41.75;-135;31.75;-64.75
38.9166666666667;29;139;-187.5;65.25;7.25;-60;-39.5;-165.25;-44;3.25;42.25;-25.25;-19.5;-8.25;-41.25;11.5;41.25;-50.25;96.75;-177.666666666667;27;-204.75
60.3333333333333;-76.3333333333333;-156.25;-324.75;-126.5;-30.25;208;-171.5;-313.25;-20.25;110.5;14.25;-429.25;43;-125.5;-248.25;-24.25;-22.25;-69;-185.75;-321.333333333333;-1.5;155.166666666667
-138.333333333333;-71.25;-140.75;-354.75;-117.5;-26.75;224.333333333333;-241.5;-344.75;-12.5;93;4;-657.25;14.5;-137.75;-274;-2;6.75;-78.25;-205.25;-363.666666666667;-3.25;137
