"Co1";"Co10";"Co2";"Co3";"Co4";"Co5";"Co6";"Co7";"Co8";"Co9";"Sa1";"Sa11";"Sa13";"Sa20";"Sa21";"Sa22";"Sa23";"Sa24";"Sa25";"Sa6";"Sa7";"Sa8";"Sa9"
239.75;-188.75;58.75;70.5;-75.75;39.25;48.75;25.25;236.5;78.25;52.75;19.25;4;-148.25;10;-72.4166666666667;-42.75;-107.5;-271;-8.5;-89;17.5;47.75
223.25;-136.25;68.5;24.75;-12.75;56.75;-162.5;26.75;240.75;107;-7.25;31;13.5;-139.5;10.5;-121.25;-39.5;-75.75;-177.5;26;-81.6666666666667;28.5;95
86.5;156.25;66.4166666666667;53.75;13.25;29.75;-53.25;145;180.25;131.5;81.5;81.5;-88.3333333333333;-12.75;52.75;-60.5833333333333;17.75;25.75;-59.5;35.25;-72.8333333333333;78;60.25
218.833333333333;-171;118;8.75;-29.75;55.25;18.5;31;227.5;71.5;51.75;32.25;13.5;-177;18.5;-51.5;-34.5;-1.5;-306.416666666667;59.5;-58;-21.75;-8.5
144.75;-58;113.25;58.75;-2.25;45.5;22.25;27.5;208.5;88.25;48;91.75;49.5;-196;27.25;-92.5;-16.25;14;-295.416666666667;0;-64.3333333333335;14.75;-21
142.5;111;119.5;33.5;126.5;64.5;70.75;189.5;202.5;111.75;122.75;155.25;95.25;52;84.75;-4.25;17.25;68;70;72.75;-91;31.75;94.5
161;90.75;114.25;83;35.5;35.25;51;143.5;174.5;100;111;110.75;94.0833333333333;-46.75;52;-33.75;10;52.25;-0.833333333333258;38.25;-56.1666666666667;46.25;4.75
225.5;-211.25;104.25;29;2;56.5;72;63.75;203.5;108.25;53.75;75.75;7;-137.25;-1;-94.25;-4.5;47.5;-403.75;42.5;-65.3333333333335;5;-20.25
130.25;62.75;204.5;73.75;82.75;34.75;107.5;228.5;194.5;155.25;195.916666666667;165.5;100.666666666667;-29.5;57.5;-40.75;36.25;102.5;-22.5;27.25;-72.6666666666667;110;-52.25
99.25;86.75;70.25;51.75;87.75;54.75;35.5;140.25;194.25;169.75;144.333333333333;120.5;7.75;-14.5;51.25;-45;13.75;87.25;-9.75;115.75;-83;120.25;-76.75
371.833333333333;-431;64.3333333333333;38.75;-77.75;5.25;-54;-84;169.25;17.75;-39.75;-37.25;12;-301.25;-36.5;-113.25;-70;-210;-762.25;-22.5;-73.3333333333333;-31.25;110.25
330.083333333333;-469.75;16;39;-119.5;22.5;24.25;-115.25;184.75;6;-50.25;-40.25;-12.25;-416.75;-19.5;-100.75;-46.25;-196.25;-880;-6;-71.6666666666667;9;76.5
