"Co1";"Co10";"Co2";"Co3";"Co4";"Co5";"Co6";"Co7";"Co8";"Co9";"Sa11";"Sa14";"Sa20";"Sa21";"Sa22";"Sa23";"Sa24";"Sa25";"Sa26";"Sa4";"Sa5";"Sa6";"Sa7";"Sa9"
73;143;59.75;48;7.25;62.75;-510.5;33.0833333333333;61;68.25;-290.75;128.75;141;21.75;-55;88.25;88.25;-545;-213.5;71;5.75;84.25;30.25;-38.75
188.75;-6.75;95.25;-66.25;3;89;343.5;73.5;50.5;85.75;90;-353.75;-138;62.5;11.25;19.5833333333333;397.5;105.25;-218.75;99.5;70.5;-360.75;-7.5;60.25
171.5;-222.916666666667;86;16;-64;78;6.75;46;69;70.5;10.75;-310.5;-322.75;63.75;-60.25;-2.5;275.5;355.75;199;56.25;-115.5;-149.75;24.4166666666667;12.5
160.666666666667;-37.75;127;67.5;-2.25;78;-278;18.25;34.25;84.75;-188.25;52.75;-39.75;60.75;-117.75;29.25;56.75;-580.75;45;49.5833333333333;-32;89.25;40.5;-47
-43;223.75;117.5;77.5833333333333;-37.5;86.5;-271.5;33.25;2.75;61.5;-121.25;-131.75;-172.25;66.75;-123.5;25.25;199.25;-586.166666666667;120.5;69.25;-48.05;62.5;79;-15
168.5;59;64.5;-53.75;8.25;97.75;-95.75;119.5;92.75;121;-118;-111.75;-15;57;8.75;-25.75;311;43.9166666666667;-271.5;86;97;-298.333333333333;95.75;20.25
63.9166666666667;-92.6666666666667;90;2.75;53;68;-285.5;92.5;-13;158.5;-214.75;63.5;172;43.75;-70.25;65;265;-114.25;-332.75;55.25;90.1666666666667;-116.25;61;18
116.416666666667;-250.25;91.25;5;59.5833333333333;66.25;-471;39.0833333333333;41.6666666666667;77.5;-196;80;65.75;43.5;-64;52.5;98.5;-568.25;-36;75.75;-50;29.25;58.75;-25.0833333333333
18.25;-20.25;84;-84.5;86.75;55.1666666666667;-534.5;19;42.25;121;-225;126.5;127.5;27.75;-75.5;80.75;195.75;-250;-239.75;73.75;22.5;35.5;117.5;-22.5
136.75;-16.5;110.75;62.5;1.75;79;185.75;57.75;57.75;11.25;92.25;-351;-409.25;74.75;-23.25;-5;272.25;354.25;137.75;64.75;-71.25;-288;-15.25;37.75
188.5;241.5;108;7.25;47.25;102;256.333333333333;72;61.5;15.25;91;-406.25;-353.25;60.5;-18.25;18.6666666666667;289.75;317.916666666667;-9.25;103;-71.75;-402.75;-36.75;51.5
127.5;-231.75;87.25;-100.5;20.5;84.5;294.5;23.75;75.1666666666667;84.5;113;-383.25;-284.5;57.75;-20.0833333333333;37.0833333333333;330.25;162.75;-118.25;114.75;-23.8333333333333;-463;5.25;40.5
