"participant";"type";"dist"
"Co1";"control";118.554296502455
"Co10";"control";98.7108219758149
"Co2";"control";35.6739811524634
"Co3";"control";224.708002720236
"Co4";"control";75.2195101786857
"Co5";"control";92.4476027303633
"Co6";"control";107.064627877558
"Co7";"control";113.246332304938
"Co8";"control";196.0922584822
"Co9";"control";99.972312508865
"Sa11";"synaesthete";87.0382131804521
"Sa20";"synaesthete";107.290558059776
"Sa21";"synaesthete";79.0677113841589
"Sa22";"synaesthete";100.499513495284
"Sa23";"synaesthete";112.283113730252
"Sa24";"synaesthete";401.36589811586
"Sa25";"synaesthete";141.891885817828
"Sa6";"synaesthete";217.815217327903
"Sa7";"synaesthete";152.317476992097
"Sa9";"synaesthete";162.434645857707
