"m";"condition";"task";"participant";"z";"X";"y"
"apr";"hd";"crazy";"Co1";4;4;4
"aug";"hd";"crazy";"Co1";4;4;4
"dec";"hd";"crazy";"Co1";4;4;4
"feb";"hd";"crazy";"Co1";4;4;4
"jan";"hd";"crazy";"Co1";3;3;3
"jul";"hd";"crazy";"Co1";3;3;3
"jun";"hd";"crazy";"Co1";4;4;4
"mar";"hd";"crazy";"Co1";4;4;4
"may";"hd";"crazy";"Co1";4;4;4
"nov";"hd";"crazy";"Co1";3;3;3
"oct";"hd";"crazy";"Co1";2;2;2
"sep";"hd";"crazy";"Co1";3;3;3
"apr";"str";"crazy";"Co1";4;4;4
"aug";"str";"crazy";"Co1";4;4;4
"dec";"str";"crazy";"Co1";4;4;4
"feb";"str";"crazy";"Co1";3;3;3
"jan";"str";"crazy";"Co1";4;4;4
"jul";"str";"crazy";"Co1";4;4;4
"jun";"str";"crazy";"Co1";4;4;4
"mar";"str";"crazy";"Co1";4;4;4
"may";"str";"crazy";"Co1";4;4;4
"nov";"str";"crazy";"Co1";4;4;4
"oct";"str";"crazy";"Co1";3;3;3
"sep";"str";"crazy";"Co1";3;3;3
"apr";"tr";"crazy";"Co1";4;4;4
"aug";"tr";"crazy";"Co1";3;3;3
"dec";"tr";"crazy";"Co1";4;4;4
"feb";"tr";"crazy";"Co1";4;4;4
"jan";"tr";"crazy";"Co1";3;3;3
"jul";"tr";"crazy";"Co1";4;4;4
"jun";"tr";"crazy";"Co1";4;4;4
"mar";"tr";"crazy";"Co1";4;4;4
"may";"tr";"crazy";"Co1";3;3;3
"nov";"tr";"crazy";"Co1";4;4;4
"oct";"tr";"crazy";"Co1";4;4;4
"sep";"tr";"crazy";"Co1";4;4;4
"apr";"hd";"month";"Co1";4;4;4
"aug";"hd";"month";"Co1";4;4;4
"dec";"hd";"month";"Co1";4;4;4
"feb";"hd";"month";"Co1";4;4;4
"jan";"hd";"month";"Co1";4;4;4
"jul";"hd";"month";"Co1";4;4;4
"jun";"hd";"month";"Co1";4;4;4
"mar";"hd";"month";"Co1";3;3;3
"may";"hd";"month";"Co1";4;4;4
"nov";"hd";"month";"Co1";4;4;4
"oct";"hd";"month";"Co1";3;3;3
"sep";"hd";"month";"Co1";1;1;1
"apr";"str";"month";"Co1";4;4;4
"aug";"str";"month";"Co1";4;4;4
"dec";"str";"month";"Co1";4;4;4
"feb";"str";"month";"Co1";3;3;3
"jan";"str";"month";"Co1";4;4;4
"jul";"str";"month";"Co1";4;4;4
"jun";"str";"month";"Co1";3;3;3
"mar";"str";"month";"Co1";4;4;4
"may";"str";"month";"Co1";4;4;4
"nov";"str";"month";"Co1";4;4;4
"oct";"str";"month";"Co1";4;4;4
"sep";"str";"month";"Co1";2;2;2
"apr";"tr";"month";"Co1";4;4;4
"aug";"tr";"month";"Co1";3;3;3
"dec";"tr";"month";"Co1";4;4;4
"feb";"tr";"month";"Co1";3;3;3
"jan";"tr";"month";"Co1";2;2;2
"jul";"tr";"month";"Co1";4;4;4
"jun";"tr";"month";"Co1";4;4;4
"mar";"tr";"month";"Co1";3;3;3
"may";"tr";"month";"Co1";4;4;4
"nov";"tr";"month";"Co1";4;4;4
"oct";"tr";"month";"Co1";4;4;4
"sep";"tr";"month";"Co1";2;2;2
"apr";"hd";"crazy";"Co10";4;4;4
"aug";"hd";"crazy";"Co10";4;4;4
