"participant","head_fit_horse","head_fit_month","trunk_fit_horse","trunk_fit_month","room_fit_horse","room_fit_month","ratio_crazy","ratio_month","bestfit_horse","bestfit_month","angle_str_hd_crazy","angle_str_hd_month","angle_str_tr_crazy","angle_str_tr_month","angle_diff_of_diffs_crazy","angle_diff_of_diffs_month","furthest_strhd_horse","furthest_strhd_month","furthest_strtr_horse","furthest_strtr_month","furthest_diffofdiffs_horse","furthest_diffofdiffs_month","type","trunk_fit_reg","head_fit_reg","room_fit_reg","analyse_by","plot3d_col_month","trunk_fit_fur","head_fit_fur","room_fit_fur","best_ratio_fur","bestfit_fur","kmeans","rounds","trunk_fit_mixed","head_fit_mixed","room_fit_mixed","trunk_fit_reg_cr","head_fit_reg_cr","room_fit_reg_cr","trunk_fit_fur_cr","head_fit_fur_cr","room_fit_fur_cr","best_ratio_fur_cr","bestfit_fur_cr","best_ratio_reg_cr","bestfit_reg_cr","plot3d_col_cr","best_ratio_reg","bestfit_reg"
"Co1",240.31,261.57,215.47,238.07,140.82,116.45,1.53,2.04,"room","room",0.46,5.38,13.77,2.68,-13.31,2.7,-5.24,-0.149999999999999,11.56,3.99,-16.8,-4.14,"control",47.7,42.3,8.06,"reg","red",41.16,49.14,4.14,9.94,"room",NA,"both",47.7,42.3,8.06,31.69,58.31,14.23,38.68,61.8,16.8,"2.3","room","2.23","room","red","5.25","room"
"Co10",230.13,200.05,92.64,74.77,136.57,123.95,1.47,1.66,"trunk","trunk",6.66,2.7,51.45,45.15,-44.79,-42.45,10.5,3.02,51.2,48.61,-40.7,-45.59,"control",2.85,87.45,47.85,"reg","green",6.63,90.59,51.63,7.79,"trunk",NA,"both",2.85,87.45,47.85,13.11,89.79,58.11,16.7,85.7,61.7,"3.69","trunk","4.43","trunk","green","16.8","trunk"
"Co2",84.48,144.29,433.28,477.9,271.1,309.57,3.21,2.15,"head","head",31.1,61.98,5.1,9.5286,26,52.4514,32,65.52,5.5,7.195,26.5,58.325,"control",97.4514,26.5086,71.5086,"reg","blue",103.325,27.715,72.715,2.62,"head",NA,"both",97.4514,26.5086,71.5086,71,19,36.2,71.5,18.5,37.5,"2.03","head","1.91","head","blue","2.7","head"
"Co3",132.74,85.87,476.99,462.58,263.51,270.81,1.99,3.15,"head","head",53.46,24.25,6.90000000000001,7.02,46.56,17.23,53.06,49.8,3.3,5.8,49.76,44,"control",62.23,27.77,31.27,"fur","blue",89,10.6,55.6,5.25,"head",NA,"both",89,10.6,55.6,91.56,15.36,60.36,94.76,11.36,56.36,"4.96","head","3.93","head","blue","1.13","head"
"Co4",118.63,158,221.49,183.29,121.04,53.5,1.02,2.95,"head","room",21.07,-2.006,21.69,4.55,-0.619999999999997,-6.556,22.6,0.900000000000002,26,0.5,-3.4,0.400000000000002,"control",42.456,51.556,6.556,"fur","red",45.4,44.6,1.4,31.9,"room",NA,"both",45.4,44.6,1.4,44.38,45.62,42.76,41.6,48.4,48.6,"1.16","trunk","1.04","room","blue","6.48","room"
"Co5",274.75,237.42,292.62,258.71,79.89,87.19,3.44,2.72,"room","room",-2.07,0.96,9.98,18.52,-12.05,-17.56,-10.03,-2.82,9.47,17.3,-19.5,-20.12,"control",27.44,62.56,19.48,"reg","red",30.52,65.12,20.12,1.52,"room",NA,"both",27.44,62.56,19.48,37.09,57.05,12.05,45.56,64.5,19.5,"2.34","room","3.08","room","red","1.41","room"
"Co6",237.77,309.81,205.36,135.68,115.14,194.94,1.78,1.44,"room","trunk",-18.27,1.37,9.02,44.66,-27.29,-43.29,-16.75,-2.63,7.6,46.08,-24.35,-48.71,"control",1.71,88.29,46.03,"reg","green",3.71,93.71,48.71,13.1,"trunk",NA,"both",1.71,88.29,46.03,54.25,72.29,27.29,54.15,69.35,24.35,"2.22","room","1.99","room","red","26.9","trunk"
"Co7",163.38,144.17,212.57,365.61,121.42,225.08,1.35,1.56,"room","head",17.1,44.29,21.25,1.74,-4.15,42.55,22.22,45.53,22.86,2.65,-0.640000000000001,42.88,"control",87.55,2.45,46.03,"reg","blue",87.88,3.18,48.18,15.2,"head",NA,"both",87.55,2.45,46.03,40.85,49.15,38.35,44.36,45.64,45.08,"1.02","trunk","1.07","room","red","18.8","head"
"Co8",245.49,150.22,383.78,445.94,253.54,239.2,1.03,1.59,"head","head",-48.06,54.23,7.44,9.33,-55.5,44.9,93.7,59.8,10.93,-5.2,82.77,65,"control",89.9,18.56,63.56,"reg","blue",110,20,65,3.25,"head",NA,"both",89.9,18.56,63.56,85.62,100.5,55.5,127.77,59.63,104.63,"1.75","head","1.54","room","blue","3.42","head"
"Co9",245.23,162.63,232.43,348.08,105.13,204.95,2.21,1.26,"room","head",-6.2,6.59,8.41,5.39,-14.61,1.2,-1.8,32.5,11.08,9,-12.88,23.5,"control",46.2,43.8,11.98,"fur","blue",68.5,21.5,41.5,1.93,"head",NA,"both",68.5,21.5,41.5,42.79,59.61,14.61,35.72,57.88,12.88,"2.77","room","2.93","room","red","3.66","room"
