"task";"participant";"angularShift"
"crazy";"Co1";15.8903729733333
"month";"Co1";16.9746073963636
"crazy";"Co10";7.56576524916667
"month";"Co10";11.0967329158333
"crazy";"Co2";56.2440520316667
"month";"Co2";62.9220926716667
"crazy";"Co3";58.5343493508333
"month";"Co3";54.7013652558333
"crazy";"Co4";25.4617480541667
"month";"Co4";6.87524523833333
"crazy";"Co5";1.21605685416667
"month";"Co5";4.273255605
"crazy";"Co6";17.1148208783333
"month";"Co6";9.52857089083333
"crazy";"Co7";19.0691644066667
"month";"Co7";54.5466594241667
"crazy";"Co8";27.1268414225
"month";"Co8";58.6781533775
"crazy";"Co9";8.88004224083333
"month";"Co9";53.5206072533333
"crazy";"Sa1";5.97688951166667
"crazy";"Sa11";8.1670675575
"month";"Sa11";11.9839749666667
"crazy";"Sa13";69.0929491758333
"month";"Sa14";32.7289515325
"crazy";"Sa20";5.94299251166667
"month";"Sa20";7.35223787833333
"crazy";"Sa21";29.8103320558333
"month";"Sa21";22.5037295066667
"crazy";"Sa22";27.0908050433333
"month";"Sa22";63.6029731558333
"crazy";"Sa23";7.886460425
"month";"Sa23";54.8122450208333
"crazy";"Sa24";7.50469004416667
"month";"Sa24";22.9671080916667
"crazy";"Sa25";8.56051294416667
"month";"Sa25";13.1064050016667
"month";"Sa26";10.895641305
"month";"Sa4";53.26512613
"month";"Sa5";20.0214409758333
"crazy";"Sa6";63.9311962758333
"month";"Sa6";5.464996925
"crazy";"Sa7";56.299061275
"month";"Sa7";54.076692655
"crazy";"Sa8";3.04526589833333
"crazy";"Sa9";36.9213673591667
"month";"Sa9";6.35128520833333
