"task";"participant";"angularShift"
"month";"Co1";24.2555814343333
"crazy";"Co1";32.2721075874167
"month";"Co2";16.6075819919167
"crazy";"Co2";5.03720833391667
"month";"Co3";6.33242512783333
"crazy";"Co3";2.70260831233333
"month";"Co4";7.6364288895
"crazy";"Co4";8.03167343158333
"month";"Co5";8.45391548033333
"crazy";"Co5";10.6239281100833
"month";"Co6";60.4742257918333
"crazy";"Co6";12.1467087056667
"month";"Co7";15.7634806919167
"crazy";"Co7";9.67579981908333
"month";"Co8";4.43475839508333
"crazy";"Co8";3.187709247
"month";"Co9";9.71954311291667
"crazy";"Co9";10.22752450475
"month";"Co10";40.3484676455
"crazy";"Co10";39.240279179
"month";"Sa4";6.03656538791667
"month";"Sa5";18.8091630685
"month";"Sa6";50.55226867225
"crazy";"Sa6";11.5723140028333
"month";"Sa7";4.48198866591667
"crazy";"Sa7";2.39183214366667
"month";"Sa9";6.88000430766667
"crazy";"Sa9";19.7199583109167
"month";"Sa11";40.8718044344167
"crazy";"Sa11";10.4059243380833
"month";"Sa14";55.0039045885
"crazy";"Sa1";11.0999558455833
"crazy";"Sa13";5.91597101108333
"crazy";"Sa8";8.44852590808333
"month";"Sa20";70.6497768273333
"crazy";"Sa20";48.5427645929167
"month";"Sa21";3.862111915
"crazy";"Sa21";6.39092950033333
"month";"Sa22";4.60898008483333
"crazy";"Sa22";3.54730076858333
"month";"Sa23";15.89309491125
"crazy";"Sa23";2.12981886958333
"month";"Sa24";45.8182379773333
"crazy";"Sa24";30.3992930985
"month";"Sa25";81.44890915475
"crazy";"Sa25";83.60942141475
"month";"Sa26";43.7744571781667
