"m";"condition";"task";"participant";"z";"X";"y"
"apr";"hd";"crazy";"Co1";1892;-107.51702;167.12112
"aug";"hd";"crazy";"Co1";1819;-108.6892735;26.9929625
"dec";"hd";"crazy";"Co1";1766.25;-14.89666325;-389.789255
"feb";"hd";"crazy";"Co1";2050.75;34.5978995;539.5844625
"jan";"hd";"crazy";"Co1";2128;435.65327;471.939163333333
"jul";"hd";"crazy";"Co1";2015;278.957936666667;109.376383333333
"jun";"hd";"crazy";"Co1";2009.25;132.64185;303.9439775
"mar";"hd";"crazy";"Co1";1975;116.00458975;385.5295475
"may";"hd";"crazy";"Co1";1982.25;253.3249625;328.4692
"nov";"hd";"crazy";"Co1";1840.33333333333;352.937626666667;-442.477856666667
"oct";"hd";"crazy";"Co1";1986;-460.724625;-358.609565
"sep";"hd";"crazy";"Co1";2162.66666666667;-559.31895;-228.844116666667
"apr";"str";"crazy";"Co1";1908.25;-88.07764;133.0655385
"aug";"str";"crazy";"Co1";1881.25;-64.5462525;-52.356635
"dec";"str";"crazy";"Co1";1738.5;77.9941715;-384.58228
"feb";"str";"crazy";"Co1";2114.33333333333;29.9702303333333;572.933243333333
"jan";"str";"crazy";"Co1";2081.75;409.35668;450.9007175
"jul";"str";"crazy";"Co1";1995.25;274.0247575;104.4222525
"jun";"str";"crazy";"Co1";2010.75;96.064589;326.281425
"mar";"str";"crazy";"Co1";1952.75;12.56177325;352.268465
"may";"str";"crazy";"Co1";1967.25;221.911285;287.7474175
"nov";"str";"crazy";"Co1";1879.25;348.3766525;-400.81534
"oct";"str";"crazy";"Co1";2046.33333333333;-513.23651;-329.72184
"sep";"str";"crazy";"Co1";2024.33333333333;-603.707566666667;-175.796446666667
"apr";"tr";"crazy";"Co1";1668.5;-139.433034375;184.4061915
"aug";"tr";"crazy";"Co1";1658;-144.703679333333;-113.988463333333
"dec";"tr";"crazy";"Co1";1652;24.33635175;-381.20013
"feb";"tr";"crazy";"Co1";1895.5;-152.2500775;571.8365525
"jan";"tr";"crazy";"Co1";1937;257.977196666667;241.58941
"jul";"tr";"crazy";"Co1";1852.75;190.126835;99.32122
"jun";"tr";"crazy";"Co1";1849.75;51.321111375;306.36751
"mar";"tr";"crazy";"Co1";1727.25;-30.505398;364.267115
"may";"tr";"crazy";"Co1";1837;171.67475;333.116356666667
"nov";"tr";"crazy";"Co1";1780;291.33232;-389.3867875
"oct";"tr";"crazy";"Co1";1674.5;-499.98543;-306.880325
"sep";"tr";"crazy";"Co1";1694.25;-663.1439625;-140.5871065
"apr";"hd";"month";"Co1";1943.25;600.944875;-263.10376
"aug";"hd";"month";"Co1";1861.5;-435.835155;-455.961015
"dec";"hd";"month";"Co1";2046.75;15.413358;584.4235
"feb";"hd";"month";"Co1";2042.5;441.3312675;448.86489
"jan";"hd";"month";"Co1";2009.75;337.7573475;528.0200125
"jul";"hd";"month";"Co1";1740;-313.9480825;-506.8158425
"jun";"hd";"month";"Co1";1659.5;-23.867437675;-532.432535
"mar";"hd";"month";"Co1";2067.33333333333;673.961563333333;142.338326666667
"may";"hd";"month";"Co1";1757.5;226.23734;-571.294775
"nov";"hd";"month";"Co1";1989.25;-319.141565;467.37692
"oct";"hd";"month";"Co1";1985.33333333333;-433.54781;294.349916666667
"sep";"hd";"month";"Co1";NA;NA;NA
"apr";"str";"month";"Co1";1961.75;616.405975;-250.959224
"aug";"str";"month";"Co1";1942.75;-501.5540875;-401.4266475
"dec";"str";"month";"Co1";2102.25;0.704672875;578.131525
"feb";"str";"month";"Co1";2032.33333333333;530.145316666667;397.839066666667
"jan";"str";"month";"Co1";1966.5;311.15554;515.004115
"jul";"str";"month";"Co1";1800.75;-304.2236175;-533.442805
