"task";"participant";"angularShift"
"crazy";"Co1";7.07927831
"month";"Co1";3.24859704
"crazy";"Co10";7.08741116
"month";"Co10";5.65409596
"crazy";"Co2";57.404637155
"month";"Co2";61.40525208
"crazy";"Co3";57.54880607
"month";"Co3";55.10655797
"crazy";"Co4";27.552255225
"month";"Co4";5.08310345
"crazy";"Co5";1.262619635
"month";"Co5";4.14168207
"crazy";"Co6";13.50899955
"month";"Co6";3.70281168
"crazy";"Co7";21.629275615
"month";"Co7";50.746780925
"crazy";"Co8";27.93934651
"month";"Co8";46.452481945
"crazy";"Co9";7.518217535
"month";"Co9";47.681826365
"crazy";"Sa1";6.094303075
"crazy";"Sa11";6.52333096
"month";"Sa11";8.555973275
"crazy";"Sa13";69.19074769
"month";"Sa14";24.28069195
"crazy";"Sa20";6.39046875
"month";"Sa20";3.010391295
"crazy";"Sa21";24.004837405
"month";"Sa21";21.34912805
"crazy";"Sa22";29.72928805
"month";"Sa22";58.331097595
"crazy";"Sa23";9.54347403
"month";"Sa23";54.175301015
"crazy";"Sa24";7.368361505
"month";"Sa24";20.773597125
"crazy";"Sa25";10.53740222
"month";"Sa25";11.393752555
"month";"Sa26";9.18459274
"month";"Sa4";54.17608347
"month";"Sa5";20.033417135
"crazy";"Sa6";58.795160935
"month";"Sa6";3.65949559
"crazy";"Sa7";56.25737789
"month";"Sa7";56.915286315
"crazy";"Sa8";2.67016184
"crazy";"Sa9";37.368314175
"month";"Sa9";4.58098705
