"task";"participant";"angularShift"
"month";"Co1";12.0280968705
"crazy";"Co1";27.0251590025
"month";"Co2";16.375384896
"crazy";"Co2";3.1253650375
"month";"Co3";6.2313896305
"crazy";"Co3";2.815777336
"month";"Co4";7.92632466
"crazy";"Co4";8.8005234805
"month";"Co5";7.4172336365
"crazy";"Co5";10.7719976355
"month";"Co6";62.5881040975
"crazy";"Co6";5.3886400815
"month";"Co7";15.423126776
"crazy";"Co7";8.303047311
"month";"Co8";5.3672334365
"crazy";"Co8";2.904884896
"month";"Co9";8.573455872
"crazy";"Co9";9.9726510175
"month";"Co10";40.9438112355
"crazy";"Co10";33.2620753755
"month";"Sa4";7.375068133
"month";"Sa5";19.02879987
"month";"Sa6";49.8122679905
"crazy";"Sa6";10.226267221
"month";"Sa7";3.815696381
"crazy";"Sa7";1.5088768085
"month";"Sa9";3.528758449
"crazy";"Sa9";23.2200512935
"month";"Sa11";40.421788403
"crazy";"Sa11";9.5504239475
"month";"Sa14";69.8434691915
"crazy";"Sa1";12.2951671955
"crazy";"Sa13";5.640107706
"crazy";"Sa8";6.303299353
"month";"Sa20";55.14871039
"crazy";"Sa20";45.6247965835
"month";"Sa21";4.2351852875
"crazy";"Sa21";5.792648572
"month";"Sa22";2.7760719245
"crazy";"Sa22";4.00349904
"month";"Sa23";10.5830596635
"crazy";"Sa23";1.748504366
"month";"Sa24";47.114078411
"crazy";"Sa24";30.6100155995
"month";"Sa25";85.9167178165
"crazy";"Sa25";82.4616063975
"month";"Sa26";43.5952295055
