"m";"condition";"task";"participant";"z";"X";"y"
"apr";"hd";"crazy";"Co1";1883;-113.65962;180.09748
"aug";"hd";"crazy";"Co1";1814.5;-99.781055;48.920985
"dec";"hd";"crazy";"Co1";1754.5;-22.832796;-377.474125
"feb";"hd";"crazy";"Co1";2088.5;29.059684;547.637825
"jan";"hd";"crazy";"Co1";2127;439.84906;472.29694
"jul";"hd";"crazy";"Co1";2015;251.95563;115.47959
"jun";"hd";"crazy";"Co1";2003;151.316715;302.63323
"mar";"hd";"crazy";"Co1";1975;116.4990575;384.062075
"may";"hd";"crazy";"Co1";1986;260.66672;320.56261
"nov";"hd";"crazy";"Co1";1843;355.27518;-444.89413
"oct";"hd";"crazy";"Co1";1986;-460.724625;-358.609565
"sep";"hd";"crazy";"Co1";2153;-561.47125;-195.77625
"apr";"str";"crazy";"Co1";1899;-87.67386;105.437345
"aug";"str";"crazy";"Co1";1888.5;-56.2089465;-51.410585
"dec";"str";"crazy";"Co1";1759;45.777695;-383.15476
"feb";"str";"crazy";"Co1";2127;36.9389;575.8126
"jan";"str";"crazy";"Co1";2063.5;408.74886;454.06448
"jul";"str";"crazy";"Co1";2010;246.645735;84.237855
"jun";"str";"crazy";"Co1";1997.5;82.488183;329.53508
"mar";"str";"crazy";"Co1";1963.5;15.2731405;361.521
"may";"str";"crazy";"Co1";1952.5;207.78697;295.4591
"nov";"str";"crazy";"Co1";1883.5;353.469875;-386.18001
"oct";"str";"crazy";"Co1";2076;-501.13947;-332.8565
"sep";"str";"crazy";"Co1";2003;-605.2509;-153.87744
"apr";"tr";"crazy";"Co1";1649;-181.53202;191.393675
"aug";"tr";"crazy";"Co1";1641;-188.61241;-112.07406
"dec";"tr";"crazy";"Co1";1657;21.7413305;-375.57769
"feb";"tr";"crazy";"Co1";1884.5;-148.660405;572.141325
"jan";"tr";"crazy";"Co1";1904;264.52905;413.9466
"jul";"tr";"crazy";"Co1";1843.5;214.375045;102.5588
"jun";"tr";"crazy";"Co1";1828.5;53.01958625;333.12999
"mar";"tr";"crazy";"Co1";1711;-52.126046;368.4946
"may";"tr";"crazy";"Co1";1814;148.06474;318.1816
"nov";"tr";"crazy";"Co1";1790.5;301.157075;-380.00879
"oct";"tr";"crazy";"Co1";1634;-522.145295;-307.287585
"sep";"tr";"crazy";"Co1";1689.5;-663.65065;-140.691748
"apr";"hd";"month";"Co1";1925.5;595.42405;-295.594625
"aug";"hd";"month";"Co1";1865.5;-416.925035;-505.24585
"dec";"hd";"month";"Co1";2052;16.2317835;583.98455
"feb";"hd";"month";"Co1";2051;447.62065;419.197415
"jan";"hd";"month";"Co1";2017;350.731995;545.31418
"jul";"hd";"month";"Co1";1742;-317.08406;-507.864785
"jun";"hd";"month";"Co1";1661;-24.298582;-513.4108
"mar";"hd";"month";"Co1";2063;677.13855;134.1679
"may";"hd";"month";"Co1";1772.5;216.422565;-568.06893
"nov";"hd";"month";"Co1";1997.5;-316.68636;471.5623
"oct";"hd";"month";"Co1";1992;-375.35272;280.21463
"sep";"hd";"month";"Co1";NA;NA;NA
"apr";"str";"month";"Co1";1964;620.068175;-263.1745
"aug";"str";"month";"Co1";1958;-541.686275;-430.2809
"dec";"str";"month";"Co1";2107.5;3.52023675;581.6201
"feb";"str";"month";"Co1";2003;507.8674;412.632
"jan";"str";"month";"Co1";1986;312.11023;519.07225
"jul";"str";"month";"Co1";1786;-265.209835;-549.606385
"jun";"str";"month";"Co1";1665;-14.457749;-552.7064
"mar";"str";"month";"Co1";2120.5;701.174805;92.132735
"may";"str";"month";"Co1";1754.5;226.972805;-533.440675
"nov";"str";"month";"Co1";2021.5;-239.31091;531.328795
"oct";"str";"month";"Co1";1998;-542.14305;330.764645
"sep";"str";"month";"Co1";2069.5;-534.1795;39.470053
"apr";"tr";"month";"Co1";1904.5;472.08945;-267.736695
"aug";"tr";"month";"Co1";1768;-482.05695;-525.043
"dec";"tr";"month";"Co1";1909.5;-98.19894;624.606035
"feb";"tr";"month";"Co1";1873;370.8166;402.37344
"jan";"tr";"month";"Co1";2009.5;237.24781;526.72143
"jul";"tr";"month";"Co1";1643.5;-282.47229;-568.727185
"jun";"tr";"month";"Co1";1603;-32.0145705;-559.55925
"mar";"tr";"month";"Co1";1969;526.60254;146.89244
"may";"tr";"month";"Co1";1732.5;213.056005;-548.529695
"nov";"tr";"month";"Co1";1878;-348.325785;560.97977
"oct";"tr";"month";"Co1";1801;-642.91305;341.0127
"sep";"tr";"month";"Co1";1942;-761.01775;90.26842
"apr";"hd";"crazy";"Co10";1941.5;219.53553;188.929325
"aug";"hd";"crazy";"Co10";1878;139.058405;-6.963228
"dec";"hd";"crazy";"Co10";1931;-159.51803;-246.83943
"feb";"hd";"crazy";"Co10";1936;212.39605;440.48465
"jan";"hd";"crazy";"Co10";1925.5;67.070068;461.629415
"jul";"hd";"crazy";"Co10";1883.5;-194.00909;149.227375
"jun";"hd";"crazy";"Co10";1873.5;-145.193995;218.864245
"mar";"hd";"crazy";"Co10";1915;192.891605;372.48022
"may";"hd";"crazy";"Co10";1795;-87.539255;245.55681
"nov";"hd";"crazy";"Co10";1732.5;-150.638465;-108.559055
"oct";"hd";"crazy";"Co10";1915;400.1176;-232.62659
"sep";"hd";"crazy";"Co10";2009.5;465.24438;-20.939889
"apr";"str";"crazy";"Co10";1899;220.1946;160.32211
"aug";"str";"crazy";"Co10";1873.5;106.4385775;-23.0247515
"dec";"str";"crazy";"Co10";1947;-141.93776;-263.7216
"feb";"str";"crazy";"Co10";1920;177.546425;437.033905
"jan";"str";"crazy";"Co10";1936;43.159675;477.41485
"jul";"str";"crazy";"Co10";1868;-167.10815;185.44209
"jun";"str";"crazy";"Co10";1909.5;-121.31136;241.810835
"mar";"str";"crazy";"Co10";1878.5;184.20304;282.875195
"may";"str";"crazy";"Co10";1809.5;-177.61409;232.51965
"nov";"str";"crazy";"Co10";1754.5;-212.28839;-131.88249
"oct";"str";"crazy";"Co10";1768;396.11984;-208.78907
"sep";"str";"crazy";"Co10";1920.5;474.301025;17.3770475
"apr";"tr";"crazy";"Co10";2069.5;218.946785;195.90465
"aug";"tr";"crazy";"Co10";1998;184.87252;-41.9596125
"dec";"tr";"crazy";"Co10";1791;-85.05845;-207.92071
"feb";"tr";"crazy";"Co10";2094.5;199.465745;433.789765
"jan";"tr";"crazy";"Co10";1963.5;62.113592;483.613875
"jul";"tr";"crazy";"Co10";1796.5;-60.303135;186.62999
"jun";"tr";"crazy";"Co10";1800.5;30.5948565;270.56742
"mar";"tr";"crazy";"Co10";2082;203.09192;374.99667
"may";"tr";"crazy";"Co10";1733;1.5091975;247.58004
"nov";"tr";"crazy";"Co10";1666;19.66432115;-129.75335
"oct";"tr";"crazy";"Co10";2237.5;338.189805;-266.878835
"sep";"tr";"crazy";"Co10";2384;352.64934;-53.822778
"apr";"hd";"month";"Co10";1936.5;-260.0719;174.54277
"aug";"hd";"month";"Co10";1888.5;56.6805175;-55.097526
"dec";"hd";"month";"Co10";2021;294.886045;-242.752195
"feb";"hd";"month";"Co10";1920;60.05397;404.36542
"jan";"hd";"month";"Co10";1936.5;-276.03445;376.624785
"jul";"hd";"month";"Co10";1914.5;-193.430765;-30.4690135
"jun";"hd";"month";"Co10";1914.5;208.950505;10.1186313
"mar";"hd";"month";"Co10";1969.5;232.89916;357.016085
"may";"hd";"month";"Co10";1904;86.08922;133.187533
"nov";"hd";"month";"Co10";1930.5;31.398089;-208.13085
"oct";"hd";"month";"Co10";1980;-289.03343;-224.248845
"sep";"hd";"month";"Co10";1920.5;321.951065;-71.647129
"apr";"str";"month";"Co10";1958;-239.391655;147.58452
"aug";"str";"month";"Co10";1904.5;46.7223975;26.7715363
"dec";"str";"month";"Co10";1975;301.80317;-215.907645
"feb";"str";"month";"Co10";1947;30.632181;446.001175
"jan";"str";"month";"Co10";1997.5;-259.15146;455.182055
"jul";"str";"month";"Co10";1904;-100.542549;19.584346
"jun";"str";"month";"Co10";1915;243.09079;132.77332
"mar";"str";"month";"Co10";1952.5;284.730925;311.62918
"may";"str";"month";"Co10";1904;-113.5771415;100.94804
"nov";"str";"month";"Co10";1930.5;8.3768115;-208.474715
"oct";"str";"month";"Co10";1963.5;-296.7225;-213.59438
"sep";"str";"month";"Co10";1909.5;288.713075;-47.006359
"apr";"tr";"month";"Co10";1729;-127.21949;221.8244
"aug";"tr";"month";"Co10";1921;125.925735;-35.398489
"dec";"tr";"month";"Co10";2208;260.15265;-249.56425
"feb";"tr";"month";"Co10";1952.5;137.825363;431.00418
"jan";"tr";"month";"Co10";1772.5;-183.32251;460.752425
"jul";"tr";"month";"Co10";1771.5;19.151983;29.9400825
"jun";"tr";"month";"Co10";2088;261.08356;105.15859
"mar";"tr";"month";"Co10";2208;293.323;297.30515
"may";"tr";"month";"Co10";1947.5;135.06063;155.55581
"nov";"tr";"month";"Co10";1947;104.574298;-184.4905
"oct";"tr";"month";"Co10";1724.5;-118.267862;-190.413375
"sep";"tr";"month";"Co10";2147;313.40413;-52.893715
"apr";"hd";"crazy";"Co2";1777;320.38725;145.232195
"aug";"hd";"crazy";"Co2";1706.5;330.41649;14.3986682
"dec";"hd";"crazy";"Co2";1727.5;217.955145;-144.395225
"feb";"hd";"crazy";"Co2";1727.5;242.429985;375.04268
"jan";"hd";"crazy";"Co2";1649.5;149.804885;340.72789
"jul";"hd";"crazy";"Co2";1899;-42.637753;132.209795
"jun";"hd";"crazy";"Co2";1873.5;40.4747535;197.168085
"mar";"hd";"crazy";"Co2";1677.5;128.89019;250.291
"may";"hd";"crazy";"Co2";1685.5;9.6802125;230.01107
"nov";"hd";"crazy";"Co2";1564;40.1152885;-121.4572925
"oct";"hd";"crazy";"Co2";1634;460.42505;-84.2639725
"sep";"hd";"crazy";"Co2";1615;406.84889;145.548255
"apr";"str";"crazy";"Co2";1754.5;-113.762936;162.378305
"aug";"str";"crazy";"Co2";1593.5;-144.53668;8.0606921
"dec";"str";"crazy";"Co2";1741;-195.09623;-154.012875
"feb";"str";"crazy";"Co2";1711;-196.07833;356.91451
"jan";"str";"crazy";"Co2";1677.5;-256.04111;352.33056
"jul";"str";"crazy";"Co2";2003;-321.76523;118.270435
"jun";"str";"crazy";"Co2";1864.5;-269.480265;192.23854
"mar";"str";"crazy";"Co2";1703.5;-259.30515;274.97075
"may";"str";"crazy";"Co2";1904;-400.88777;204.245855
"nov";"str";"crazy";"Co2";1706;-391.13725;-160.699905
"oct";"str";"crazy";"Co2";1476.5;-57.63647;-30.752032
"sep";"str";"crazy";"Co2";1474.5;-104.2625;173.646675
"apr";"tr";"crazy";"Co2";1690;-190.77283;168.72406
"aug";"tr";"crazy";"Co2";1546;-168.965495;39.534309
"dec";"tr";"crazy";"Co2";1673;-261.4899;-119.7067
"feb";"tr";"crazy";"Co2";1581.5;-217.54701;368.01441
"jan";"tr";"crazy";"Co2";1581.5;-288.72863;387.23582
"jul";"tr";"crazy";"Co2";1858;-404.9012;130.11016
"jun";"tr";"crazy";"Co2";1759;-340.75571;225.77444
"mar";"tr";"crazy";"Co2";1596;-320.45839;258.213655
"may";"tr";"crazy";"Co2";1702.5;-400.66463;250.74946
"nov";"tr";"crazy";"Co2";1645.5;-413.57846;-137.63959
"oct";"tr";"crazy";"Co2";1402;-109.5663;-60.870213
"sep";"tr";"crazy";"Co2";1455;-164.57347;192.99923
"apr";"hd";"month";"Co2";2107.5;499.298685;239.346515
"aug";"hd";"month";"Co2";1848;409.742205;-157.276085
"dec";"hd";"month";"Co2";1809;310.351015;286.6785
"feb";"hd";"month";"Co2";1952.5;356.905825;381.49353
"jan";"hd";"month";"Co2";1915;284.1048;359.733985
"jul";"hd";"month";"Co2";1963.5;447.03455;-205.91661
"jun";"hd";"month";"Co2";2021;503.95375;-122.991635
"mar";"hd";"month";"Co2";2057;481.2451;241.730085
"may";"hd";"month";"Co2";2088;517.271385;176.618115
"nov";"hd";"month";"Co2";1754.5;314.44;170.67001
"oct";"hd";"month";"Co2";1732;348.917175;-38.851886
"sep";"hd";"month";"Co2";1781.5;356.247715;-99.480645
"apr";"str";"month";"Co2";1711;81.69627;256.68451
"aug";"str";"month";"Co2";1706.5;13.46179425;96.3667125
"dec";"str";"month";"Co2";1741.5;-59.101364;284.86716
"feb";"str";"month";"Co2";1777;4.57442725;321.1904
"jan";"str";"month";"Co2";1772.5;-36.235544;310.82422
"jul";"str";"month";"Co2";1681.5;81.3507075;105.156013
"jun";"str";"month";"Co2";1686;86.441735;149.37328
"mar";"str";"month";"Co2";1723;60.783333;291.75998
"may";"str";"month";"Co2";1702.5;122.777135;227.954835
"nov";"str";"month";"Co2";1745.5;-71.21721;210.655905
"oct";"str";"month";"Co2";1690;-69.320797;141.922965
"sep";"str";"month";"Co2";1686;-40.74305;125.991655
"apr";"tr";"month";"Co2";1657;-41.677389;270.458035
"aug";"tr";"month";"Co2";1607;-119.984537;117.1928375
"dec";"tr";"month";"Co2";1661;-225.319465;275.04281
"feb";"tr";"month";"Co2";1653;-123.238205;327.26785
"jan";"tr";"month";"Co2";1669;-216.707325;315.673875
"jul";"tr";"month";"Co2";1611.5;-51.755255;139.89283
"jun";"tr";"month";"Co2";1603.5;-55.30586;190.02778
"mar";"tr";"month";"Co2";1634;-55.3510135;299.994365
"may";"tr";"month";"Co2";1629.5;14.08355275;226.291965
"nov";"tr";"month";"Co2";1626;-259.77754;234.022745
"oct";"tr";"month";"Co2";1588.5;-256.81999;136.055665
"sep";"tr";"month";"Co2";1614.5;-200.661415;133.507957
"apr";"hd";"crazy";"Co3";1863;236.15198;197.89748
"aug";"hd";"crazy";"Co3";1878;244.60087;165.14048
"dec";"hd";"crazy";"Co3";1809.5;141.487965;121.03348
"feb";"hd";"crazy";"Co3";1833;262.079545;308.781035
"jan";"hd";"crazy";"Co3";1800;183.543125;364.79375
"jul";"hd";"crazy";"Co3";1848;120.458645;184.418335
"jun";"hd";"crazy";"Co3";1819;137.073395;232.34251
"mar";"hd";"crazy";"Co3";1843;239.027925;263.917725
"may";"hd";"crazy";"Co3";1843;167.78981;237.00808
"nov";"hd";"crazy";"Co3";1843;156.83314;112.02367
"oct";"hd";"crazy";"Co3";1853;356.19732;122.945552
"sep";"hd";"crazy";"Co3";1858;364.750315;187.12405
"apr";"str";"crazy";"Co3";1649;-144.091225;249.14738
"aug";"str";"crazy";"Co3";1585;-143.87761;182.5002
"dec";"str";"crazy";"Co3";1634;-186.889655;125.399475
"feb";"str";"crazy";"Co3";1585;-154.160405;316.55088
"jan";"str";"crazy";"Co3";1657;-230.21253;391.361295
"jul";"str";"crazy";"Co3";1677.5;-204.01491;217.775365
"jun";"str";"crazy";"Co3";1681.5;-245.297205;257.9957
"mar";"str";"crazy";"Co3";1607;-148.98514;300.76199
"may";"str";"crazy";"Co3";1665;-202.40849;263.451445
"nov";"str";"crazy";"Co3";1649;-196.65319;138.092755
"oct";"str";"crazy";"Co3";1526;-83.669108;153.60465
"sep";"str";"crazy";"Co3";1528.5;-95.53749;237.331965
"apr";"tr";"crazy";"Co3";1578;-211.178655;257.57198
"aug";"tr";"crazy";"Co3";1549.5;-213.21576;203.25508
"dec";"tr";"crazy";"Co3";1582;-299.265855;159.39991
"feb";"tr";"crazy";"Co3";1561;-209.89875;327.877425
"jan";"tr";"crazy";"Co3";1593;-298.328065;367.372725
"jul";"tr";"crazy";"Co3";1641;-284.85064;225.120585
"jun";"tr";"crazy";"Co3";1596;-299.040115;282.7536
"mar";"tr";"crazy";"Co3";1560.5;-220.08602;295.34272
"may";"tr";"crazy";"Co3";1585.5;-270.10202;278.80793
"nov";"tr";"crazy";"Co3";1578;-251.16714;164.14882
"oct";"tr";"crazy";"Co3";1471;-152.131995;163.62436
"sep";"tr";"crazy";"Co3";1468.5;-163.653885;241.053655
"apr";"hd";"month";"Co3";1614.5;257.69184;205.717695
"aug";"hd";"month";"Co3";1980.5;550.23675;184.07621
"dec";"hd";"month";"Co3";2160;311.26455;157.039775
"feb";"hd";"month";"Co3";1724;101.57592;188.289395
"jan";"hd";"month";"Co3";1848;22.5436945;166.509835
"jul";"hd";"month";"Co3";1833.5;508.652315;189.58146
"jun";"hd";"month";"Co3";1790.5;501.050915;203.789105
"mar";"hd";"month";"Co3";1618.5;227.21763;174.06607
"may";"hd";"month";"Co3";1607.5;328.636365;212.265785
"nov";"hd";"month";"Co3";2107.5;435.91547;168.327225
"oct";"hd";"month";"Co3";2107.5;466.78473;164.59166
"sep";"hd";"month";"Co3";2101;427.308545;147.6201
"apr";"str";"month";"Co3";1596;-263.84741;158.81639
"aug";"str";"month";"Co3";1529;293.58005;183.338135
"dec";"str";"month";"Co3";1889;259.17326;170.973075
"feb";"str";"month";"Co3";1772.5;-262.93826;114.647745
"jan";"str";"month";"Co3";1853;-269.2528;114.79187
"jul";"str";"month";"Co3";1468.5;60.925719;216.809775
"jun";"str";"month";"Co3";1486;-34.854885;185.88237
"mar";"str";"month";"Co3";1615.5;-258.79024;169.254625
"may";"str";"month";"Co3";1472;-157.758785;191.72797
"nov";"str";"month";"Co3";1829.5;283.65157;157.34457
