"m";"condition";"task";"participant";"modelz";"modelX";"y"
"apr";"str";"crazy";"Co1";1919.70557132138;115.733835648806;133.0655385
"aug";"str";"crazy";"Co1";1917.25289190132;151.464922412821;-52.356635
"dec";"str";"crazy";"Co1";1917.10469929055;353.195715830806;-384.58228
"feb";"str";"crazy";"Co1";2148.90094342824;53.4833627766083;572.933243333333
"jan";"str";"crazy";"Co1";2394.12777872416;344.789989979859;450.9007175
"jul";"str";"crazy";"Co1";2237.26892204077;310.260606441733;104.4222525
"jun";"str";"crazy";"Co1";2122.39223522171;173.463609405891;326.281425
"mar";"str";"crazy";"Co1";2022.33463464789;155.430395449715;352.268465
"may";"str";"crazy";"Co1";2180.62014237161;293.209806519028;287.7474175
"nov";"str";"crazy";"Co1";2207.8192645717;444.859722207943;-400.81534
"oct";"str";"crazy";"Co1";1716.71251263161;-282.538545778646;-329.72184
"sep";"str";"crazy";"Co1";1637.1834657754;-330.954894262655;-175.796446666667
"apr";"str";"month";"Co1";2455.68092551617;576.048764256639;-250.959224
"aug";"str";"month";"Co1";1651.72875538414;-201.033348190304;-401.4266475
"dec";"str";"month";"Co1";2119.66286235491;41.3336955819538;578.131525
"feb";"str";"month";"Co1";2444.59538269781;465.143314160772;397.839066666667
"jan";"str";"month";"Co1";2243.19503017817;356.845354497359;515.004115
"jul";"str";"month";"Co1";1690.85330592738;38.9095282099147;-533.442805
"jun";"str";"month";"Co1";1796.70857853236;344.286764239701;-544.7154
"mar";"str";"month";"Co1";2613.44746335477;530.168549113516;99.2491675
"may";"str";"month";"Co1";2054.3074306619;466.003263251223;-533.8987025
"nov";"str";"month";"Co1";1888.52053238992;-63.5900739412333;525.494475
"oct";"str";"month";"Co1";1667.70055985623;-280.874512568991;322.0934625
"sep";"str";"month";"Co1";1718.28488948178;-313.728783123457;39.470053
"apr";"str";"crazy";"Co10";2115.58321658675;327.521383490879;179.0616025
"aug";"str";"crazy";"Co10";2034.17132763075;303.031590420387;-10.45608375
"dec";"str";"crazy";"Co10";1903.16150709904;47.2174230092579;-261.8581575
"feb";"str";"crazy";"Co10";2114.21325730228;292.917405490638;440.2979575
"jan";"str";"crazy";"Co10";2006.12704936173;208.165721329247;485.5893375
"jul";"str";"crazy";"Co10";1848.19439529341;69.678503743555;196.6040925
"jun";"str";"crazy";"Co10";1896.00029307207;104.756479460855;237.5529575
"mar";"str";"crazy";"Co10";2028.94936349712;277.657083022944;283.889395
"may";"str";"crazy";"Co10";1787.62045881083;136.030234483954;226.313675
"nov";"str";"crazy";"Co10";1732.95874642399;133.34087051433;-136.9474825
"oct";"str";"crazy";"Co10";2182.8293118939;517.804058724484;-210.8973675
"sep";"str";"crazy";"Co10";2332.6537235934;519.843153155993;11.38555125
"apr";"str";"month";"Co10";1846.78027365492;-24.3666062303743;149.6211775
"aug";"str";"month";"Co10";1981.78106938314;183.466187960054;34.40548065
"dec";"str";"month";"Co10";2251.93232617699;336.944825858124;-214.9776775
"feb";"str";"month";"Co10";2027.21778397112;179.405427864978;442.7175675
"jan";"str";"month";"Co10";1849.22722727782;-72.8313408529079;423.68457
"jul";"str";"month";"Co10";1937.25827952646;130.458116729138;32.90239425
"jun";"str";"month";"Co10";2090.96706530223;277.44938808364;124.58668
"mar";"str";"month";"Co10";2218.61268213332;343.223161560902;319.8049675
"may";"str";"month";"Co10";1905.5828646939;92.0651874753064;92.31421
"nov";"str";"month";"Co10";2004.78394917479;180.306116847809;-195.75405
"oct";"str";"month";"Co10";1820.67718464335;-65.3189376468657;-217.57268
"sep";"str";"month";"Co10";2175.23126745005;356.410289372564;-41.7803235
"apr";"str";"crazy";"Co2";1775.99342740801;218.801958369542;162.3717925
"aug";"str";"crazy";"Co2";1669.77617458522;275.572818610253;13.33321605
"dec";"str";"crazy";"Co2";1702.22348574168;146.446230265582;-156.1311725
"feb";"str";"crazy";"Co2";1684.73463493579;185.525921954623;354.59302
"jan";"str";"crazy";"Co2";1660.9767203648;143.029677682186;354.3077575
"jul";"str";"crazy";"Co2";1790.75495887358;-112.211726165114;110.4107225
"jun";"str";"crazy";"Co2";1774.74594821043;17.0897067055731;196.6731175
"mar";"str";"crazy";"Co2";1652.0117271436;142.196412444634;273.45073
"may";"str";"crazy";"Co2";1700.07435312065;-98.240528302434;203.40401
"nov";"str";"crazy";"Co2";1553.73058262766;29.0660255237713;-154.4187975
"oct";"str";"crazy";"Co2";1632.53972996251;442.690233750448;-30.46289525
"sep";"str";"crazy";"Co2";1601.9947145919;413.205878551626;171.9191275
"apr";"str";"month";"Co2";1901.78065448105;370.398582955893;260.46176
"aug";"str";"month";"Co2";1846.98217818518;333.984882970873;97.59975875
"dec";"str";"month";"Co2";1822.4138869812;251.080282319003;282.93033
"feb";"str";"month";"Co2";1896.79948714719;271.018660333625;316.028585
"jan";"str";"month";"Co2";1868.02563294817;241.891252744012;307.5801475
"jul";"str";"month";"Co2";1875.54900656237;396.846390235606;112.823824
"jun";"str";"month";"Co2";1887.98598087655;397.969656050802;154.9501475
"mar";"str";"month";"Co2";1894.66933991897;355.509093800757;294.885396666667
"may";"str";"month";"Co2";1940.40578116159;408.670156245841;229.146635
"nov";"str";"month";"Co2";1809.47357744316;240.968399905711;210.689765
