"participant";"condition";"task";"type";"rounds";"pooled_z";"pooled_X";"pooled_y";"overall"
"Co1";"hd";"crazy";"control";"both";49.7405412661095;41.7783488884823;46.4471278016503;45.9886726520807
"Co1";"hd";"month";"control";"both";60.5299967719045;63.692669022128;62.8042002970369;62.3422886970232
"Co1";"str";"crazy";"control";"both";63.5045930748244;63.0189433398988;48.1087217899684;58.2107527348972
"Co1";"str";"month";"control";"both";60.3430128139098;53.8895836306146;67.39605842581;60.5428849567781
"Co1";"tr";"crazy";"control";"both";71.8184884013319;68.9734975927609;68.0964896460141;69.6294918800356
"Co1";"tr";"month";"control";"both";65.3103096200666;56.3360283755836;60.2122465170583;60.6195281709028
"Co10";"hd";"crazy";"control";"both";48.2605750871206;41.0021294139281;35.6333937867007;41.6320327625831
"Co10";"hd";"month";"control";"both";39.65423313222;57.0903497894522;41.8446454551994;46.1964094589572
"Co10";"str";"crazy";"control";"both";51.9951116799037;52.7289878737719;36.8271460829465;47.1837485455407
"Co10";"str";"month";"control";"both";33.4316247120004;96.8965730081457;44.9776929708764;58.4352968970075
"Co10";"tr";"crazy";"control";"both";46.1193231978707;63.6764429660905;37.1013250820972;48.9656970820195
"Co10";"tr";"month";"control";"both";97.631141520863;76.7018438311047;43.6709427751364;72.667976042368
"Co2";"hd";"crazy";"control";"both";49.1587125140324;48.6666394729403;34.5977133137896;44.1410217669208
"Co2";"hd";"month";"control";"both";30.9705299741342;26.2019582895716;36.8381628196178;31.3368836944412
"Co2";"str";"crazy";"control";"both";55.8364777978146;43.7605419198176;20.3420606449248;39.9796934541857
"Co2";"str";"month";"control";"both";44.1222288105785;16.9669842073685;18.6239155576077;26.5710428585182
"Co2";"tr";"crazy";"control";"both";42.9903448533992;50.5652031266288;26.0111747241961;39.8555742347414
"Co2";"tr";"month";"control";"both";33.9802120221725;28.9465510954744;21.2481625134739;28.0583085437069
"Co3";"hd";"crazy";"control";"both";40.554329824364;33.8823026718287;15.8854288044312;30.1073537668746
"Co3";"hd";"month";"control";"both";48.1725780816323;51.4279978672888;21.5856158570062;40.3953972686424
"Co3";"str";"crazy";"control";"both";45.0468520852625;51.0890241672471;15.1734609420289;37.1031123981795
"Co3";"str";"month";"control";"both";107.196263401994;38.4562856164814;42.6553146469099;62.7692878884616
"Co3";"tr";"crazy";"control";"both";53.0125780172109;50.5957621178742;16.2450443231361;39.9511281527404
"Co3";"tr";"month";"control";"both";85.9274152230615;38.8258085582275;29.8845626210786;51.5459288007892
"Co4";"hd";"crazy";"control";"both";35.1952416697442;46.7352818571257;26.9053497712737;36.2786244327145
"Co4";"hd";"month";"control";"both";47.4189930680493;46.4832425451361;34.9508378119137;42.951024475033
"Co4";"str";"crazy";"control";"both";40.4732332346897;57.3780601098537;34.1150896637897;43.9887943361111
"Co4";"str";"month";"control";"both";43.1408753858147;42.0257049648959;32.950055037511;39.3722117960739
"Co4";"tr";"crazy";"control";"both";30.1008015937714;35.7493437738487;32.9078055764975;32.9193169813725
"Co4";"tr";"month";"control";"both";43.4684346292759;43.0975822823936;35.5168674162782;40.6942947759825
"Co5";"hd";"crazy";"control";"both";17.1495107568855;19.3506474293812;23.558984926183;20.0197143708166
"Co5";"hd";"month";"control";"both";36.4193642122259;24.1490438803247;30.0999246264744;30.2227775730083
"Co5";"str";"crazy";"control";"both";16.297205127977;12.6873514761409;13.9190948927718;14.3012171656299
"Co5";"str";"month";"control";"both";21.0624740947919;13.8118277154021;13.0316457414665;15.9686491838868
"Co5";"tr";"crazy";"control";"both";12.5265766532616;17.8585475508964;14.3829563938587;14.9226935326722
"Co5";"tr";"month";"control";"both";25.2544452206985;30.800565817894;19.5001909446698;25.1850673277541
"Co6";"hd";"crazy";"control";"both";47.4163188694276;53.1281952185963;69.9284580321244;56.8243240400494
"Co6";"hd";"month";"control";"both";48.3829656203603;90.4797363407255;58.5435194491681;65.802073803418
"Co6";"str";"crazy";"control";"both";84.3661340016932;74.9237029392738;75.0481259296779;78.112654290215
"Co6";"str";"month";"control";"both";55.5497207903091;94.5209470213057;55.7332712327583;68.601313014791
"Co6";"tr";"crazy";"control";"both";57.7736545950325;59.4775453847618;63.4593339886121;60.2368446561355
"Co6";"tr";"month";"control";"both";106.012511832761;68.353814092127;71.9811805823442;82.1158355024106
"Co7";"hd";"crazy";"control";"both";80.1988173559558;41.6985688392276;43.0797230255058;54.9923697402297
"Co7";"hd";"month";"control";"both";79.4963766460102;57.9021945653176;69.1004687880159;68.8330133331146
"Co7";"str";"crazy";"control";"both";73.3254727644642;48.1613504048769;48.4627057235179;56.6498429642864
"Co7";"str";"month";"control";"both";96.4457990817309;63.3960196789278;51.633321542108;70.4917134342556
"Co7";"tr";"crazy";"control";"both";41.6324983031286;39.7021982154573;46.6716087571896;42.6687684252585
"Co7";"tr";"month";"control";"both";48.884990449416;50.8784268541397;42.044916088357;47.2694444639709
"Co8";"hd";"crazy";"control";"both";57.2021176188441;49.1692040510118;21.2707929093552;42.5473715264037
"Co8";"hd";"month";"control";"both";61.2966963790962;143.522530842016;66.406346106868;90.40852444266
"Co8";"str";"crazy";"control";"both";58.5640893769117;9.0478150743541;16.7744155241798;28.1287733251485
"Co8";"str";"month";"control";"both";36.1472865797243;47.1909680510389;44.5119132911687;42.616722640644
"Co8";"tr";"crazy";"control";"both";60.9825172540408;13.2896308415011;15.5736069202709;29.9485850052709
"Co8";"tr";"month";"control";"both";101.409918606181;57.3924705604194;56.2113906037138;71.671259923438
"Co9";"hd";"crazy";"control";"both";48.6056798549368;43.8713519408084;34.7567043654882;42.4112453870778
"Co9";"hd";"month";"control";"both";145.731090549255;155.761787166593;40.8458641581737;114.112913958007
"Co9";"str";"crazy";"control";"both";51.1092063527527;52.9925890705539;41.9414488402821;48.6810814211962
"Co9";"str";"month";"control";"both";74.1400717326425;55.7113668988395;50.7407471457234;60.1973952590685
"Co9";"tr";"crazy";"control";"both";36.7400191261427;37.0857868079172;40.1883123306975;38.0047060882525
"Co9";"tr";"month";"control";"both";92.2640756640607;55.285217504558;37.8793655265667;61.8095528983952
"Sa11";"hd";"crazy";"synaesthete";"both";26.4210903573038;46.6230266745131;22.4357635789658;31.8266268702609
"Sa11";"hd";"month";"synaesthete";"both";29.5735890262882;23.7089119132448;28.9239945699056;27.4021651698129
"Sa11";"str";"crazy";"synaesthete";"both";46.1792184863138;28.8013042597811;21.2938187393197;32.0914471618049
"Sa11";"str";"month";"synaesthete";"both";17.4187797328876;19.2130961257044;25.1466294428176;20.5928351004698
"Sa11";"tr";"crazy";"synaesthete";"both";26.7069554012948;46.2249643925234;20.6414700154434;31.1911299364205
"Sa11";"tr";"month";"synaesthete";"both";36.0505196430362;30.1424159226905;27.8792147629127;31.3573834428798
"Sa20";"hd";"crazy";"synaesthete";"both";35.158115609626;37.2774946050965;18.490164633379;30.3085916160338
"Sa20";"hd";"month";"synaesthete";"both";25.0657211842436;26.5928692177526;20.6565923856907;24.105060929229
"Sa20";"str";"crazy";"synaesthete";"both";37.6925399021334;30.3677744050845;21.7311057576548;29.9304733549576
"Sa20";"str";"month";"synaesthete";"both";31.0208150613354;14.9079060555485;18.3056126564783;21.4114445911208
"Sa20";"tr";"crazy";"synaesthete";"both";25.2421803074274;29.1480862634908;26.2622518239016;26.8841727982733
"Sa20";"tr";"month";"synaesthete";"both";33.6683260238632;32.4848916851005;24.3483303163365;30.1671826751001
"Sa21";"hd";"crazy";"synaesthete";"both";27.0764138439741;31.5554469256589;29.5190396516376;29.3836334737569
"Sa21";"hd";"month";"synaesthete";"both";23.3489728986444;18.9933770329837;17.8785261096591;20.0736253470957
"Sa21";"str";"crazy";"synaesthete";"both";26.6207804519124;27.5107162286952;23.5279283856583;25.8864750220886
"Sa21";"str";"month";"synaesthete";"both";47.9411461686235;31.0898277081398;9.45316763200201;29.4947138362551
"Sa21";"tr";"crazy";"synaesthete";"both";40.5793070797739;74.1141173541941;26.8607834894947;47.1847359744875
"Sa21";"tr";"month";"synaesthete";"both";29.6582294445607;14.8857165912895;9.11489352255674;17.8862798528023
"Sa22";"hd";"crazy";"synaesthete";"both";87.5022266869271;100.658363674114;34.8131863064265;74.3245922224893
"Sa22";"hd";"month";"synaesthete";"both";38.8379591231741;36.146961903815;36.3674590327341;37.1174600199077
"Sa22";"str";"crazy";"synaesthete";"both";37.7105271149182;23.1830888504312;23.6068392425257;28.166818402625
"Sa22";"str";"month";"synaesthete";"both";88.3203429619258;53.9160178045881;56.3633176491247;66.1998928052129
"Sa22";"tr";"crazy";"synaesthete";"both";27.2034271057821;29.5453329482301;25.0285698306682;27.2591099615601
"Sa22";"tr";"month";"synaesthete";"both";78.9721971714305;42.4318032773183;38.1522415567896;53.1854140018461
"Sa23";"hd";"crazy";"synaesthete";"both";33.0273094064336;57.513609162548;28.4794891599004;39.6734692429606
"Sa23";"hd";"month";"synaesthete";"both";42.8614866561602;40.7913623102662;43.743418086382;42.4654223509361
"Sa23";"str";"crazy";"synaesthete";"both";27.5315039101843;22.1058085144146;39.7588863544861;29.7987329263617
"Sa23";"str";"month";"synaesthete";"both";27.3687040591794;35.1061162415841;23.1739887432277;28.5496030146637
"Sa23";"tr";"crazy";"synaesthete";"both";20.6585880729367;38.9007325397383;41.6421891559991;33.7338365895581
"Sa23";"tr";"month";"synaesthete";"both";39.2640769647861;28.3366487521462;26.1727191133013;31.2578149434112
"Sa24";"hd";"crazy";"synaesthete";"both";59.2156234795138;48.2083122877728;31.7666992205806;46.3968783292891
"Sa24";"hd";"month";"synaesthete";"both";46.7140025620661;47.4063536880166;28.1229422789259;40.7477661763362
"Sa24";"str";"crazy";"synaesthete";"both";56.7170389433533;34.995876991919;44.8023640442071;45.5050933264931
"Sa24";"str";"month";"synaesthete";"both";36.073204569179;31.2719167669018;32.254694117815;33.1999384846319
"Sa24";"tr";"crazy";"synaesthete";"both";40.9774062406077;62.2461735828125;28.6879775329011;43.9705191187737
"Sa24";"tr";"month";"synaesthete";"both";43.9356073161143;37.4978744894316;30.5632646194818;37.3322488083425
"Sa25";"hd";"crazy";"synaesthete";"both";62.3883931333539;39.5797941248764;40.6859603182687;47.5513825254997
"Sa25";"hd";"month";"synaesthete";"both";71.1910955567995;71.5566338386708;37.6614208167253;60.1363834040652
"Sa25";"str";"crazy";"synaesthete";"both";86.1128693260953;45.9554490115373;39.5509499063033;57.2064227479786
"Sa25";"str";"month";"synaesthete";"both";110.907922029778;112.305600394617;40.747365461777;87.986962628724
"Sa25";"tr";"crazy";"synaesthete";"both";46.0959381724783;67.7357520445478;45.4888341224957;53.1068414465073
"Sa25";"tr";"month";"synaesthete";"both";90.9851253211183;50.841986390167;42.5700059208225;61.4657058773693
"Sa6";"hd";"crazy";"synaesthete";"both";46.5600164475611;38.0153844382531;38.6361653323806;41.0705220727316
"Sa6";"hd";"month";"synaesthete";"both";44.605747046981;27.1447129367371;33.6347988235624;35.1284196024269
"Sa6";"str";"crazy";"synaesthete";"both";38.729257887555;34.3630204342487;37.4642738438905;36.8521840552314
"Sa6";"str";"month";"synaesthete";"both";60.0206491424014;51.2020840724692;39.0465528175118;50.0897620107941
"Sa6";"tr";"crazy";"synaesthete";"both";32.4596251613003;25.3462538513104;38.2746534999945;32.0268441708684
"Sa6";"tr";"month";"synaesthete";"both";55.1648826131607;42.7357019883958;44.5218247629981;47.4741364548515
"Sa7";"hd";"crazy";"synaesthete";"both";20.7961952568743;28.7971849924589;19.3015265594687;22.9649689362673
"Sa7";"hd";"month";"synaesthete";"both";33.7639912223903;28.5544678359113;29.6806303383081;30.6663631322032
"Sa7";"str";"crazy";"synaesthete";"both";21.1037986534335;12.096618346492;12.1336066462198;15.1113412153818
"Sa7";"str";"month";"synaesthete";"both";61.2835676080368;43.3354580152826;65.5368186990915;56.718614774137
"Sa7";"tr";"crazy";"synaesthete";"both";35.9392014674112;14.7300494968594;19.6406532780408;23.4366347474371
"Sa7";"tr";"month";"synaesthete";"both";87.8564812264337;53.6169122272653;34.1502644411999;58.5412192982996
"Sa9";"hd";"crazy";"synaesthete";"both";63.3350605603884;115.358334723949;53.1109201405852;77.268105141641
"Sa9";"hd";"month";"synaesthete";"both";23.9719774525825;33.173721385912;25.6633236200952;27.6030074861966
"Sa9";"str";"crazy";"synaesthete";"both";71.2578272571243;112.716071190071;55.8239608748497;79.9326197740149
"Sa9";"str";"month";"synaesthete";"both";27.7213199533348;18.8806155539593;26.2407316877879;24.2808890650273
"Sa9";"tr";"crazy";"synaesthete";"both";101.724489073635;83.9635224073774;41.3385040106229;75.6755051638785
"Sa9";"tr";"month";"synaesthete";"both";26.9332132885255;29.6886536154293;23.901510832037;26.8411259119973
