"task";"participant";"angularShift"
"crazy";"Co1";22.4811786650762
"month";"Co1";43.075399580309
"crazy";"Co10";5.39980367399888
"month";"Co10";15.8121165875146
"crazy";"Co2";5.74174940077939
"month";"Co2";8.63966065532605
"crazy";"Co3";4.87073958815934
"month";"Co3";4.71748105357064
"crazy";"Co4";8.01669976094401
"month";"Co4";7.96257107253411
"crazy";"Co5";1.04644659236087
"month";"Co5";1.70503586484492
"crazy";"Co6";12.3436165402447
"month";"Co6";17.2138142136216
"crazy";"Co7";12.4508061427417
"month";"Co7";25.2041657311687
"crazy";"Co8";10.7988859977257
"month";"Co8";27.0551044706927
"crazy";"Co9";7.07173613131803
"month";"Co9";41.600199467345
"crazy";"Sa1";3.17772903266128
"crazy";"Sa11";6.86339866302742
"month";"Sa11";9.09852464084337
"crazy";"Sa13";4.69505891944212
"month";"Sa14";28.3564144404077
"crazy";"Sa20";2.19060613517583
"month";"Sa20";12.999138138423
"crazy";"Sa21";20.9276734395226
"month";"Sa21";4.89965440048075
"crazy";"Sa22";8.20351410257445
"month";"Sa22";30.2706246335296
"crazy";"Sa23";4.44625989588835
"month";"Sa23";5.44822140317496
"crazy";"Sa24";3.80049801056032
"month";"Sa24";13.8870439808167
"crazy";"Sa25";4.88044961620297
"month";"Sa25";10.6240555514819
"month";"Sa26";9.50128228685336
"month";"Sa4";3.72368757615441
"month";"Sa5";5.12929861224864
"crazy";"Sa6";13.5927704993124
"month";"Sa6";4.11468216775616
"crazy";"Sa7";2.54017276476977
"month";"Sa7";10.2255729576758
"crazy";"Sa8";2.02226389202946
"crazy";"Sa9";10.1814650209754
"month";"Sa9";5.32310989197117
