"task";"participant";"angularShift"
"month";"Co1";45.1225451479877
"crazy";"Co1";39.8019950504118
"month";"Co2";1.35524034818206
"crazy";"Co2";4.9683143094096
"month";"Co3";4.26685325654504
"crazy";"Co3";1.57421614813418
"month";"Co4";4.96237967054546
"crazy";"Co4";4.66061324625165
"month";"Co5";3.27617651523355
"crazy";"Co5";2.20757997602378
"month";"Co6";37.4879223121629
"crazy";"Co6";15.0157854068539
"month";"Co7";13.0151006493538
"crazy";"Co7";8.45457869969686
"month";"Co8";2.57239189827547
"crazy";"Co8";2.32921015892411
"month";"Co9";6.41227609212598
"crazy";"Co9";3.9145799941372
"month";"Co10";13.3536511381535
"crazy";"Co10";13.8871220484744
"month";"Sa4";3.50719727255719
"month";"Sa5";4.44606323012146
"month";"Sa6";6.70327781233423
"crazy";"Sa6";8.09593610360634
"month";"Sa7";3.08356019225333
"crazy";"Sa7";2.55181391477461
"month";"Sa9";6.0791627864384
"crazy";"Sa9";8.79827478641297
"month";"Sa11";7.36694055689255
"crazy";"Sa11";9.13343597020737
"month";"Sa14";28.416443155955
"crazy";"Sa1";6.30487930313349
"crazy";"Sa13";2.99776685985524
"crazy";"Sa8";6.45686287962548
"month";"Sa20";44.2606629931771
"crazy";"Sa20";23.0098245647563
"month";"Sa21";1.80463627038586
"crazy";"Sa21";5.11241574500066
"month";"Sa22";6.15265974169407
"crazy";"Sa22";1.54517933575603
"month";"Sa23";14.6152737098964
"crazy";"Sa23";2.06512180399476
"month";"Sa24";18.2972644915288
"crazy";"Sa24";6.48678084496732
"month";"Sa25";20.1789166942389
"crazy";"Sa25";8.03733733227976
"month";"Sa26";6.79128297822657
