"condition";"task";"participant";"z";"X";"y"
"hd";"crazy";"Co1";22.4188194640698;19.3688224351724;21.4126646156786
"str";"crazy";"Co1";22.2259310370212;36.0629589683203;20.4474355614245
"tr";"crazy";"Co1";27.4675345273092;31.9782910645211;79.2594199429024
"hd";"month";"Co1";30.6716185605123;49.9909869904392;44.8032066413023
"str";"month";"Co1";24.9391581677462;46.6663948843268;60.8285230462386
"tr";"month";"Co1";28.3493262052715;47.6635858371767;41.701344228058
"hd";"crazy";"Co10";22.364839846257;18.5356714049747;20.0694691256057
"str";"crazy";"Co10";21.4252053561082;51.5929171980249;18.11517221173
"tr";"crazy";"Co10";17.7685362025063;35.5581799041656;19.3842808586671
"hd";"month";"Co10";11.7470236192108;60.0073508591234;18.4913712047794
"str";"month";"Co10";16.0163296292619;84.4664335435935;19.7499864056287
"tr";"month";"Co10";85.3034959545333;79.2065678437607;24.0926972727307
"hd";"crazy";"Co2";19.8522233108427;17.713843651784;12.8205367683479
"str";"crazy";"Co2";21.7648304693254;14.4351724810282;9.27089222250034
"tr";"crazy";"Co2";22.6678740478295;17.0324711178044;9.18340927974072
"hd";"month";"Co2";12.1084065868169;11.547487588324;31.7041915248451
"str";"month";"Co2";9.22084325686365;7.61978381184805;9.25084043636674
"tr";"month";"Co2";14.1441998749838;14.8826038404016;9.14917588954618
"hd";"crazy";"Co3";11.408354155699;13.4024660883033;8.61352148323104
"str";"crazy";"Co3";13.8025801491204;25.780136556922;9.45111656545779
"tr";"crazy";"Co3";20.3678271188186;9.88182962840604;7.75694706206849
"hd";"month";"Co3";18.7493417701719;13.7709249528171;7.71504771331722
"str";"month";"Co3";31.6540536060856;13.7030283162076;16.0347986552789
"tr";"month";"Co3";24.1950754261906;10.6024984534162;7.42315079960946
"hd";"crazy";"Co4";15.6475079796334;20.2805834168676;16.8784795445039
"str";"crazy";"Co4";15.3578783405809;34.6268507343271;18.4542835010848
"tr";"crazy";"Co4";10.6499434666968;20.0126760400191;18.2149425881786
"hd";"month";"Co4";21.7875815830406;13.7218142126985;15.5404819857386
"str";"month";"Co4";20.6022103507028;16.146137625978;18.7022594906143
"tr";"month";"Co4";13.395757358487;23.1164610645028;19.5663449163023
"hd";"crazy";"Co5";8.91405786041429;5.93138152954749;8.96446912449677
"str";"crazy";"Co5";8.28642515421057;6.03921592892518;4.76972884426855
"tr";"crazy";"Co5";5.21378006475081;6.99801958607778;4.91091942135927
"hd";"month";"Co5";9.99344751018426;11.1142860272097;10.7282775705157
"str";"month";"Co5";4.29639969158066;3.57022432093732;7.19912998106145
"tr";"month";"Co5";7.78700110911237;11.5224724003032;7.15402979695569
"hd";"crazy";"Co6";23.37824861749;22.3891122982301;43.492800166582
"str";"crazy";"Co6";40.067951982321;59.5423925446777;25.1905547763133
