"m";"condition";"task";"participant";"z";"X";"y"
"apr";"hd";"crazy";"Co1";56.4859864627207;69.0993527306882;48.2846745947138
"aug";"hd";"crazy";"Co1";78.4219357067906;55.7431455753648;73.9148687469674
"dec";"hd";"crazy";"Co1";43.9573657081495;25.511914278947;71.0153184728011
"feb";"hd";"crazy";"Co1";84.6576438761832;33.9354470432244;23.9413249492509
"jan";"hd";"crazy";"Co1";52.5071423713003;24.7551785112752;39.5763879022332
"jul";"hd";"crazy";"Co1";12;51.1419179572309;67.8086714681952
"jun";"hd";"crazy";"Co1";29.8705540624877;76.0857719111718;54.6955528902734
"mar";"hd";"crazy";"Co1";26.74571616789;37.7950210705083;29.7209931135344
"may";"hd";"crazy";"Co1";69.3030783347079;21.5039233274092;23.0845715447699
"nov";"hd";"crazy";"Co1";44.0605643782888;27.6420778942563;32.9675974233858
"oct";"hd";"crazy";"Co1";24.0416305603426;51.9116008736395;10.2907583318456
"sep";"hd";"crazy";"Co1";41.3561764834871;17.6683946216825;64.2229245965507
"apr";"str";"crazy";"Co1";63.1261963583001;18.9223655322073;87.5047534764397
"aug";"str";"crazy";"Co1";34.7982279242301;20.491207802175;58.3384113692174
"dec";"str";"crazy";"Co1";70.7036066972541;77.1076909515681;37.6951431550609
"feb";"str";"crazy";"Co1";46.3177431804847;41.2606032307637;27.0318535713782
"jan";"str";"crazy";"Co1";91.2373278872195;51.5542708449675;27.6488069416052
"jul";"str";"crazy";"Co1";95.4720727054078;69.4717990555527;57.6379714754301
"jun";"str";"crazy";"Co1";64.8607482740268;116.625950752573;40.6005345891549
"mar";"str";"crazy";"Co1";33.7181948903951;62.9728683617694;42.5350244438858
"may";"str";"crazy";"Co1";51.3574077746661;139.503920591286;30.8952124355844
"nov";"str";"crazy";"Co1";50.7764709289647;53.8486473524299;68.6831940037212
"oct";"str";"crazy";"Co1";98.8955678144038;39.8925598425082;21.7317741657049
"sep";"str";"crazy";"Co1";68.5370945790185;42.9113201682649;67.7217039622456
"apr";"tr";"crazy";"Co1";55.7882902886738;95.2557082915326;60.3067817700366
"aug";"tr";"crazy";"Co1";93.6642941573789;122.681763727573;40.8826658319053
"dec";"tr";"crazy";"Co1";42.0396638108981;53.846281065881;39.5036305437648
"feb";"tr";"crazy";"Co1";107.748163170732;38.5673454218889;10.9039297127087
"jan";"tr";"crazy";"Co1";57.157676649773;17.5666835681222;315.322672720593
"jul";"tr";"crazy";"Co1";72.0017360901805;83.4698342028873;45.8850092573163
"jun";"tr";"crazy";"Co1";66.8300082298364;69.3481952373539;72.4968237650184
"mar";"tr";"crazy";"Co1";62.9252201691288;71.9235760533119;55.3112975728615
"may";"tr";"crazy";"Co1";39.8371685740842;59.5635663160232;25.8677573453447
"nov";"tr";"crazy";"Co1";46.2673390921357;35.0746813051646;62.2065457762559
"oct";"tr";"crazy";"Co1";129.574946138004;117.454304587797;94.1633557127203
"sep";"tr";"crazy";"Co1";79.7219125042377;60.5605382800739;53.568614730244
"apr";"hd";"month";"Co1";67.4505992066292;81.9828877845198;95.8293297484763
"aug";"hd";"month";"Co1";124.07658925035;166.569522124132;176.257977210666
"dec";"hd";"month";"Co1";71.7048347974761;12.8568374459205;26.677814294903
"feb";"hd";"month";"Co1";46.2204860785056;113.238790998345;61.4632190235835
"jan";"hd";"month";"Co1";94.1218182286481;33.2819942055514;42.0946530703409
"jul";"hd";"month";"Co1";58.8387627334226;29.6481116862107;79.2054765108737
"jun";"hd";"month";"Co1";26.3881286440197;15.6229275608923;56.818262248819
"mar";"hd";"month";"Co1";18.8767935130237;38.4528875763451;15.5635346685813
"may";"hd";"month";"Co1";56.2049819855856;41.1857331977737;39.3148520772948
"nov";"hd";"month";"Co1";29.6914690329282;56.4875286838936;31.1850774153665
"oct";"hd";"month";"Co1";57.2916515151495;122.47198173578;44.6315775350058
"sep";"hd";"month";"Co1";NA;NA;NA
"apr";"str";"month";"Co1";55.4459195973879;39.5604852793057;170.603100218633
"aug";"str";"month";"Co1";102.363323509937;172.618749793499;199.930158407424
"dec";"str";"month";"Co1";57.7198694847219;14.3139495498135;17.6890531284888
"feb";"str";"month";"Co1";71.6542624924249;49.9982090697841;29.8694469351767
"jan";"str";"month";"Co1";87.9867414254367;26.6876930040246;28.1841570066985
"jul";"str";"month";"Co1";44.8358115795845;102.699923207968;85.0262142493535
"jun";"str";"month";"Co1";9.23760430703401;4.34462681465152;35.3819855676586
"mar";"str";"month";"Co1";66.2891393819531;16.5726800067367;28.8642992654668
"may";"str";"month";"Co1";60.4669331122391;58.2873495432474;44.3037209817824
"nov";"str";"month";"Co1";46.0217339960154;43.6908639393741;50.3986168614222
"oct";"str";"month";"Co1";59.880436426822;37.3463633500251;47.1691312603362
"sep";"str";"month";"Co1";26.1629509039023;80.4468313888123;9.66565048143258
"apr";"tr";"month";"Co1";80.9212580228459;28.1316329054743;108.494274862106
"aug";"tr";"month";"Co1";58.2752091373339;180.935026163268;133.118673425536
"dec";"tr";"month";"Co1";84.5946215784432;46.0508892376604;46.6783252545237
"feb";"tr";"month";"Co1";76.0087714236543;99.0465624790852;138.022157459652
"jan";"tr";"month";"Co1";24.7487373415292;6.94801708980338;32.99293772979
"jul";"tr";"month";"Co1";115.077872185171;67.4005903941031;62.8156550431543
"jun";"tr";"month";"Co1";14.5;14.3885135915457;16.1209873744342
"mar";"tr";"month";"Co1";65.8963833099612;84.5274991374608;63.4978091118887
"may";"tr";"month";"Co1";48.363209157375;65.6492485666569;36.0510648340222
"nov";"tr";"month";"Co1";41.4839326326069;38.5296285045447;38.414540370741
"oct";"tr";"month";"Co1";86.7755725996665;20.1698686166525;21.1484049529247
"sep";"tr";"month";"Co1";53.7401153701776;56.8175147925796;54.715173195027
"apr";"hd";"crazy";"Co10";40.2699226056702;51.461490058537;55.0780351799992
"aug";"hd";"crazy";"Co10";33.8919852865934;65.9525248356032;63.0654957818035
