"m";"z";"X";"y";"outlier";"condition";"task";"type";"participant";"rounds"
"jun";3475;386.23474;1128.5293;1;"str";"month";"control";"Co1";"both"
"jan";0;0;0;1;"tr";"month";"control";"Co1";"both"
"sep";0;0;0;1;"tr";"month";"control";"Co1";"both"
"oct";5050;-1017.33936;613.91156;1;"hd";"month";"control";"Co1";"both"
"sep";4771;-1458.2719;91.141914;1;"hd";"month";"control";"Co1";"both"
"aug";0;0;0;1;"tr";"month";"control";"Co1";"both"
"sep";0;0;0;1;"tr";"month";"control";"Co1";"both"
"sep";4977;-916.19934;181.51114;1;"hd";"month";"control";"Co1";"both"
"sep";4838;-1361.1229;327.67767;1;"str";"month";"control";"Co1";"both"
"sep";4838;-1369.5248;260.46167;1;"hd";"month";"control";"Co1";"both"
"mar";5282;1788.7493;339.40366;1;"hd";"month";"control";"Co1";"both"
"feb";5535;1403.4178;970.85736;1;"str";"month";"control";"Co1";"both"
"mar";5364;1350.7446;400.56552;1;"tr";"month";"control";"Co1";"both"
"jan";4296;507.3289;962.4328;1;"tr";"month";"control";"Co1";"both"
"feb";5364;1089.9113;940.86334;1;"tr";"month";"control";"Co1";"both"
"sep";4906;-1022.4104;247.0824;1;"str";"month";"control";"Co1";"both"
"sep";4463;1108.3562;1085.104;1;"hd";"month";"control";"Co1";"both"
"jan";0;0;0;1;"tr";"crazy";"control";"Co1";"both"
"oct";4771;-1275.988;-853.42084;1;"hd";"crazy";"control";"Co1";"both"
"jul";3406;378.56564;1106.1211;1;"hd";"crazy";"control";"Co1";"both"
"nov";3046;444.35056;-999.78876;1;"hd";"crazy";"control";"Co1";"both"
"oct";4906;-1209.8522;-826.4485;1;"hd";"crazy";"control";"Co1";"both"
"jan";4643;983.7279;1040.1711;1;"hd";"crazy";"control";"Co1";"both"
"sep";4838;-1352.7208;-327.6778;1;"hd";"crazy";"control";"Co1";"both"
"oct";3406;378.56564;1106.1211;1;"str";"crazy";"control";"Co1";"both"
"feb";3373;374.8978;1095.4042;1;"str";"crazy";"control";"Co1";"both"
"jan";0;0;0;1;"tr";"crazy";"control";"Co1";"both"
"sep";0;0;0;1;"str";"crazy";"control";"Co1";"both"
"jan";0;0;0;1;"tr";"mini";"control";"Co1";"both"
"may";0;0;0;1;"tr";"mini";"control";"Co1";"both"
"aug";0;0;0;1;"hd";"mini";"control";"Co1";"both"
"mar";3373;374.8978;1095.4042;1;"str";"month";"control";"Co2";"both"
"dec";3406;378.56564;1106.1211;1;"tr";"crazy";"control";"Co2";"both"
"apr";0;0;0;1;"tr";"crazy";"control";"Co2";"both"
"oct";0;0;0;1;"tr";"crazy";"control";"Co2";"both"
"oct";0;0;0;1;"tr";"mini";"control";"Co2";"both"
"nov";0;0;0;1;"tr";"mini";"control";"Co2";"both"
"dec";0;0;0;1;"str";"mini";"control";"Co2";"both"
"jan";0;0;0;1;"eyes";"mini";"control";"Co2";"both"
"nov";0;0;0;1;"eyes";"mini";"control";"Co2";"both"
"jan";0;0;0;1;"str";"month";"control";"Co3";"both"
"oct";0;0;0;1;"tr";"mini";"control";"Co3";"both"
"mar";3440;256.8877;1099.2405;1;"hd";"mini";"control";"Co3";"both"
"jan";0;0;0;1;"hd";"mini";"control";"Co3";"both"
"feb";3440;256.8877;1099.2405;1;"hd";"mini";"control";"Co3";"both"
"nov";0;0;0;1;"hd";"mini";"control";"Co3";"both"
"apr";0;0;0;1;"eyes";"mini";"control";"Co3";"both"
"jan";3440;256.8877;1099.2405;1;"eyes";"mini";"control";"Co3";"both"
"may";3373;240.16898;1077.8308;1;"eyes";"mini";"control";"Co3";"both"
"aug";3546;141.639;1071.5303;1;"eyes";"mini";"control";"Co3";"both"
"mar";0;0;0;1;"tr";"month";"control";"Co4";"both"
"sep";0;0;0;1;"tr";"mini";"control";"Co4";"both"
"oct";0;0;0;1;"tr";"mini";"control";"Co4";"both"
"nov";3475;114.663506;1098.3549;1;"tr";"mini";"control";"Co4";"both"
"oct";0;0;0;1;"str";"mini";"control";"Co4";"both"
"nov";0;0;0;1;"str";"mini";"control";"Co4";"both"
"sep";3659;108.025925;1092.9677;1;"str";"mini";"control";"Co4";"both"
"dec";3510;115.81839;1170.3743;1;"hd";"mini";"control";"Co4";"both"
"oct";3406;112.386734;1135.6965;1;"hd";"mini";"control";"Co4";"both"
"apr";3698;109.17733;1104.6172;1;"hd";"mini";"control";"Co4";"both"
"sep";0;0;0;1;"hd";"mini";"control";"Co4";"both"
"nov";0;0;0;1;"hd";"mini";"control";"Co4";"both"
"jan";0;0;0;1;"tr";"month";"control";"Co5";"both"
"feb";5448;860.98395;955.5972;1;"str";"month";"control";"Co6";"both"
"aug";0;0;0;1;"str";"month";"control";"Co6";"both"
"apr";5626;351.73773;48.852245;1;"tr";"month";"control";"Co6";"both"
"feb";5364;149.0479;680.0299;1;"tr";"month";"control";"Co6";"both"
"oct";5125;-1361.7637;400.51862;1;"tr";"month";"control";"Co6";"both"
"apr";3583;398.2386;1163.603;1;"tr";"month";"control";"Co6";"both"
"aug";0;0;0;1;"str";"month";"control";"Co6";"both"
"jan";0;0;0;1;"hd";"crazy";"control";"Co6";"both"
"aug";0;0;0;1;"eyes";"mini";"control";"Co6";"both"
"mar";3583;398.2386;1163.603;1;"tr";"month";"control";"Co7";"both"
"dec";0;0;0;1;"str";"month";"control";"Co8";"both"
"aug";0;0;0;1;"tr";"month";"control";"Co8";"both"
"sep";0;0;0;1;"tr";"month";"control";"Co8";"both"
"dec";0;0;0;1;"hd";"month";"control";"Co8";"both"
"oct";0;0;0;1;"hd";"month";"control";"Co8";"both"
"nov";3546;394.12616;1151.587;1;"hd";"month";"control";"Co8";"both"
"mar";3583;398.2386;1163.603;1;"hd";"month";"control";"Co8";"both"
"may";3583;398.2386;1163.603;1;"hd";"month";"control";"Co8";"both"
"mar";0;0;0;1;"str";"month";"control";"Co8";"both"
