"m","z","X","y","outlier","condition","task","type","participant","rounds"
"mar",1947,463.23676,111.58251,0,"tr","mini","control","Co1","both"
"sep",1814,-683.618,34.65341,0,"tr","mini","control","Co1","both"
"feb",1947,270.5032,368.56058,0,"tr","mini","control","Co1","both"
"oct",1814,-620.61176,311.88098,0,"tr","mini","control","Co1","both"
"aug",1706,-325.90286,-554.035,0,"tr","mini","control","Co1","both"
"nov",1786,-465.253,486.96478,0,"tr","mini","control","Co1","both"
"jun",1581,-54.9134,-480.49228,0,"tr","mini","control","Co1","both"
"dec",1883,-111.18486,572.275,0,"tr","mini","control","Co1","both"
"jul",1665,-309.3958,-511.80438,0,"tr","mini","control","Co1","both"
"apr",1904,413.32666,-221.54312,0,"tr","mini","control","Co1","both"
"dec",1814,66.156654,513.5011,0,"hd","mini","control","Co1","both"
"jul",1741,-202.57692,-510.97775,0,"hd","mini","control","Co1","both"
"mar",2063,716.54865,89.56855,0,"hd","mini","control","Co1","both"
"aug",1883,-513.4125,-336.82486,0,"hd","mini","control","Co1","both"
"apr",1992,657.2936,-273.29584,0,"hd","mini","control","Co1","both"
"feb",1980,625.8252,285.40378,0,"hd","mini","control","Co1","both"
"oct",2015,-545.9038,311.44507,0,"hd","mini","control","Co1","both"
"jan",1947,412.5174,490.28702,0,"hd","mini","control","Co1","both"
"nov",2003,-208.7126,518.3029,0,"hd","mini","control","Co1","both"
"may",1814,340.2338,-513.50116,0,"hd","mini","control","Co1","both"
"sep",2167,-594.6103,109.13729,0,"hd","mini","control","Co1","both"
"jun",1698,41.284084,-504.25513,0,"hd","mini","control","Co1","both"
"may",1833,331.06427,-512.513,0,"str","mini","control","Co1","both"
"dec",2140,89.19525,590.9182,0,"str","mini","control","Co1","both"
"oct",2181,-552.9998,291.65057,0,"str","mini","control","Co1","both"
"apr",2039,573.6523,-407.22235,0,"str","mini","control","Co1","both"
"jul",1804,-272.5663,-548.2657,0,"str","mini","control","Co1","both"
"mar",2167,730.09125,124.190704,0,"str","mini","control","Co1","both"
"jan",2114,381.81665,517.65515,0,"str","mini","control","Co1","both"
"sep",2208,-628.8678,88.19485,0,"str","mini","control","Co1","both"
"feb",2127,620.5735,328.75616,0,"str","mini","control","Co1","both"
"jun",1673,26.149035,-549.1289,0,"str","mini","control","Co1","both"
"nov",2088,-297.34506,482.27927,0,"str","mini","control","Co1","both"
"apr",2051,705.25684,-260.01904,0,"eyes","mini","control","Co1","both"
"jan",2003,438.29654,469.60333,0,"eyes","mini","control","Co1","both"
"jul",1768,-257.91583,-488.19794,0,"eyes","mini","control","Co1","both"
"may",1969,636.0264,-338.53018,0,"eyes","mini","control","Co1","both"
"aug",1795,-274.32385,-508.1227,0,"eyes","mini","control","Co1","both"
"dec",2051,71.23807,552.095,0,"eyes","mini","control","Co1","both"
"feb",1980,591.4392,312.9126,0,"eyes","mini","control","Co1","both"
"sep",2181,-647.6915,56.814995,0,"eyes","mini","control","Co1","both"
"jun",1698,20.642042,-498.3574,0,"eyes","mini","control","Co1","both"
"oct",1969,-471.8905,386.40308,0,"eyes","mini","control","Co1","both"
"mar",2127,716.6147,136.6739,0,"eyes","mini","control","Co1","both"
"nov",2063,-265.123,533.8287,0,"eyes","mini","control","Co1","both"
"jan",1715,-187.63812,265.07608,0,"tr","mini","control","Co2","both"
"may",1673,17.432726,217.9082,0,"tr","mini","control","Co2","both"
"mar",1681,-87.5801,300.69162,0,"tr","mini","control","Co2","both"
"sep",1574,-196.81293,128.47508,0,"tr","mini","control","Co2","both"
"feb",1673,-162.70483,305.07153,0,"tr","mini","control","Co2","both"
"aug",1611,-109.113014,125.899605,0,"tr","mini","control","Co2","both"
"jun",1626,-101.65753,177.90065,0,"tr","mini","control","Co2","both"
"dec",1634,-278.0959,263.90732,0,"tr","mini","control","Co2","both"
"jul",1603,-122.49056,136.40994,0,"tr","mini","control","Co2","both"
"apr",1634,-113.50853,286.609,0,"tr","mini","control","Co2","both"
"jul",1634,48.241146,-127.69718,0,"hd","mini","control","Co2","both"
"mar",1626,81.89082,98.83369,0,"hd","mini","control","Co2","both"
"aug",1715,-17.870312,-86.37316,0,"hd","mini","control","Co2","both"
"apr",1649,114.55053,71.594055,0,"hd","mini","control","Co2","both"
