"m","z","X","y","outlier","condition","task","type","participant","rounds"
"aug",1732,-132.34789,81.21345,0,"hd","crazy","control","Co1","both"
"may",1894,256.56122,312.47842,0,"hd","crazy","control","Co1","both"
"dec",1732,-24.06323,-400.05167,0,"hd","crazy","control","Co1","both"
"apr",1883,-32.70143,199.47868,0,"hd","crazy","control","Co1","both"
"mar",2003,160.01308,351.33282,0,"hd","crazy","control","Co1","both"
"jan",2127,458.04242,432.1851,0,"hd","crazy","control","Co1","both"
"sep",2208,-540.673,-187.89352,0,"hd","crazy","control","Co1","both"
"feb",2101,36.487366,558.2567,0,"hd","crazy","control","Co1","both"
"jun",2051,28.4952,252.8951,0,"hd","crazy","control","Co1","both"
"feb",1925,0,504.8055,0,"hd","crazy","control","Co1","both"
"nov",1795,324.201,-408.3686,0,"hd","crazy","control","Co1","both"
"apr",1833,-162.34882,206.91513,0,"hd","crazy","control","Co1","both"
"jun",2003,125.22764,344.37576,0,"hd","crazy","control","Co1","both"
"mar",1992,103.783195,377.07895,0,"hd","crazy","control","Co1","both"
"jul",2015,251.95563,115.47959,0,"hd","crazy","control","Co1","both"
"may",2063,222.13011,311.6986,0,"hd","crazy","control","Co1","both"
"aug",1843,-67.21422,-73.61563,0,"hd","crazy","control","Co1","both"
"dec",1824,22.173784,-319.9357,0,"hd","crazy","control","Co1","both"
"dec",1732,-36.094845,-484.27307,0,"hd","crazy","control","Co1","both"
"aug",1915,-176.26295,16.62852,0,"hd","crazy","control","Co1","both"
"jan",2076,439.84906,472.29694,0,"hd","crazy","control","Co1","both"
"jul",2003,246.97665,173.92714,0,"hd","crazy","control","Co1","both"
"feb",2076,21.632002,551.61395,0,"hd","crazy","control","Co1","both"
"nov",1883,379.3367,-474.17084,0,"hd","crazy","control","Co1","both"
"may",1980,264.77222,361.05298,0,"hd","crazy","control","Co1","both"
"sep",2127,-561.47125,-195.77625,0,"hd","crazy","control","Co1","both"
"mar",1958,129.21492,391.0452,0,"hd","crazy","control","Co1","both"
"jun",2003,177.40579,260.8907,0,"hd","crazy","control","Co1","both"
"apr",1883,-170.04741,101.37439,0,"hd","crazy","control","Co1","both"
"oct",1969,-424.01758,-365.88623,0,"hd","crazy","control","Co1","both"
"aug",1786,-58.932034,83.74551,0,"hd","crazy","control","Co1","both"
"feb",2101,80.27223,543.6617,0,"hd","crazy","control","Co1","both"
"nov",1843,355.27518,-444.89413,0,"hd","crazy","control","Co1","both"
"may",1992,269.8363,328.6468,0,"hd","crazy","control","Co1","both"
"sep",2153,-575.8126,-302.86258,0,"hd","crazy","control","Co1","both"
"mar",1947,71.007164,422.66122,0,"hd","crazy","control","Co1","both"
"jul",2027,337.94153,38.72242,0,"hd","crazy","control","Co1","both"
"dec",1777,-21.602362,-354.89658,0,"hd","crazy","control","Co1","both"
"oct",2003,-497.43167,-351.3329,0,"hd","crazy","control","Co1","both"
"jun",1980,199.43877,357.61435,0,"hd","crazy","control","Co1","both"
"jan",2181,409.06833,511.33545,0,"hd","crazy","control","Co1","both"
"apr",1969,-64.97042,160.71628,0,"hd","crazy","control","Co1","both"
"jan",2051,370.438,459.4855,0,"str","crazy","control","Co1","both"
"may",1936,181.55812,312.68335,0,"str","crazy","control","Co1","both"
"mar",1904,-62.825638,386.87372,0,"str","crazy","control","Co1","both"
"sep",1969,-605.2509,-153.87744,0,"str","crazy","control","Co1","both"
"feb",2063,-14.330959,544.57697,0,"str","crazy","control","Co1","both"
"oct",1936,-480.79266,-332.8565,0,"str","crazy","control","Co1","both"
"aug",1833,-50.932972,-66.84958,0,"str","crazy","control","Co1","both"
"nov",1814,289.82886,-343.38422,0,"str","crazy","control","Co1","both"
"jun",1992,-24.21604,335.56564,0,"str","crazy","control","Co1","both"
"dec",1795,37.40782,-408.3686,0,"str","crazy","control","Co1","both"
"jul",2051,249.33322,60.5523,0,"str","crazy","control","Co1","both"
"apr",1915,-109.74862,89.79431,0,"str","crazy","control","Co1","both"
"jul",1873,243.95825,188.661,0,"str","crazy","control","Co1","both"
"jan",1992,359.7818,480.86215,0,"str","crazy","control","Co1","both"
"may",1969,68.38993,311.1742,0,"str","crazy","control","Co1","both"
"dec",1786,27.915226,-347.38892,0,"str","crazy","control","Co1","both"
"aug",1894,-59.206413,16.44617,0,"str","crazy","control","Co1","both"
"jun",1947,128.489,273.88446,0,"str","crazy","control","Co1","both"
"mar",1969,-10.258464,386.40308,0,"str","crazy","control","Co1","both"
"apr",1843,-67.21422,259.2548,0,"str","crazy","control","Co1","both"
"sep",2003,-560.0454,-121.74905,0,"str","crazy","control","Co1","both"
"nov",1873,315.51935,-348.04718,0,"str","crazy","control","Co1","both"
"feb",2127,36.9389,598.41016,0,"str","crazy","control","Co1","both"
"may",2039,403.68127,279.744,0,"str","crazy","control","Co1","both"
"dec",1732,192.50607,-357.94092,0,"str","crazy","control","Co1","both"
"sep",2101,-645.8264,-251.76285,0,"str","crazy","control","Co1","both"
"jun",2003,243.49803,323.50452,0,"str","crazy","control","Co1","both"
"apr",1883,-78.48343,62.132664,0,"str","crazy","control","Co1","both"
"oct",2127,-557.7774,-306.59296,0,"str","crazy","control","Co1","both"
"jan",2076,447.05972,414.61176,0,"str","crazy","control","Co1","both"
"jul",1969,225.68686,92.32637,0,"str","crazy","control","Co1","both"
"mar",1958,40.804745,336.63892,0,"str","crazy","control","Co1","both"
"nov",1894,391.4204,-424.31284,0,"str","crazy","control","Co1","both"
"aug",1883,-94.834145,-35.97159,0,"str","crazy","control","Co1","both"
"dec",1641,54.14757,-424.63068,0,"str","crazy","control","Co1","both"
